SourcedStatement,SourceType,Name,Title,Justification
"""It's obvious that running against Harris is more challenging for Trump given the shift in these numbers, but it's certainly not insurmountable,"" Matt Wolking, a Republican campaign strategist who worked on Trump's 2020 campaign, said in response to the Reuters/Ipsos poll results.",Named Person Sources,Matt Wolking,Republican campaign strategist,"Matt Wolking, a Republican campaign strategist who worked on Trump's 2020 campaign"
"""We see it in this poll that people are more motivated about the future than the past,"" said Aimee Allison, founder of She the People, a liberal group that aims to grow the numbers of women of color in elected office.",Named Person Sources,Aimee Allison,founder of She the People,"Aimee Allison, founder of She the People, a liberal group that aims to grow the numbers of women of color in elected office"
Democrat Kamala Harris leads Republican Donald Trump 45% to 41% in a Reuters/Ipsos poll published on Thursday that showed the vice president sparking new enthusiasm among voters and shaking up the race ahead of the Nov. 5 election.,Document Sources,Reuters/Ipsos poll,,Reuters/Ipsos poll published on Thursday
The 4 percentage point advantage among registered voters was wider than a 1 point lead Harris held over the former president in a late July Reuters/Ipsos poll.,Document Sources,Reuters/Ipsos poll,,late July Reuters/Ipsos poll
"The new poll, which was conducted in the eight days ended Wednesday and had a 2 percentage point margin of error, showed Harris picking up support among women and Hispanics.",Document Sources,Reuters/Ipsos poll,,"The new poll, which was conducted in the eight days ended Wednesday"
"Across four Reuters/Ipsos polls conducted in July, Harris had a 9 point lead among women and a 6 point lead among Hispanics.",Document Sources,Reuters/Ipsos polls,,four Reuters/Ipsos polls conducted in July
A separate Bloomberg News/Morning Consult poll published later on Thursday showed that Harris was either leading or tied with Trump in each of those states.,Document Sources,Bloomberg News/Morning Consult poll,,Bloomberg News/Morning Consult poll published later on Thursday
That poll showed Harris led Trump by 2 percentage points among registered voters across the seven states and was ahead by 1 point — a statistical tie — among likely voters.,Document Sources,Bloomberg News/Morning Consult poll,,That poll
Some 73% of Democratic registered voters in the Reuters/Ipsos poll said they were more excited about voting in November after Harris entered the race.,Unnamed Group of People,Democratic registered voters,,Democratic registered voters in the Reuters/Ipsos poll
"And while a March Reuters/Ipsos poll found that 61% respondents who intended to vote for Biden were doing so mainly to stop Trump, 52% of Harris voters in the August poll were voting to support her as a candidate rather than primarily to oppose Trump.",Unnamed Group of People,Harris voters,,Harris voters in the August poll
"But Trump voters also voiced enthusiasm about their candidate, with 64% saying their choice was more motivated by backing Trump than opposing Harris.",Unnamed Group of People,Trump voters,,Trump voters
