GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
,sam altman called an openai board members research paper a danger to the company weeks before he was ousted as its chief executive.,0,,Named_Person,No,,sam altman,0,,chief executive,0.0,,,0.0,,chief executive ,0.0
,"at one point, mr. altman, the chief executive, made a move to push out one of the boards members because he thought a research paper she had co-written was critical of the company.",0,,Named_Person,No,,sam altman,0,,chief executive,0.0,,,0.0,,chief executive ,0.0
,"another member, ilya sutskever, thought mr. altman was not always being honest when talking with the board.",0,,Named_Person,No,,ilya sutskever,0,,member,0.0,,who had worked closely with mr. altman at openai for eight years,0.0,,member who had worked closely with mr. altman at openai for eight years,0.0
,"the news that he was being pushed out came in a videoconference on friday afternoon, when mr. sutskever, who had worked closely with mr. altman at openai for eight years, read him a statement.",0,,Named_Person,No,,ilya sutskever,0,,member,0.0,,who had worked closely with mr. altman at openai for eight years,0.0,,member who had worked closely with mr. altman at openai for eight years,0.0
,the decision stunned openais employees and exposed board members to tough questions about their qualifications to manage such a high-profile company.,0,,Named_Person,No,,ilya sutskever,0,,member,0.0,,who had worked closely with mr. altman at openai for eight years,0.0,,member who had worked closely with mr. altman at openai for eight years,0.0
,"mr. sutskever and others critical of mr. altman were jettisoned from the board, whose members now include bret taylor, an early facebook officer and former co-chief executive of salesforce, and larry summers, the former treasury department secretary.",0,,Named_Person,No,,ilya sutskever,0,,member,0.0,,who had worked closely with mr. altman at openai for eight years,0.0,,member who had worked closely with mr. altman at openai for eight years,0.0
,"the only holdover is adam dangelo, chief executive of the question-and-answer site, quora.",0,,Named_Person,No,,adam dangelo,0,,chief executive,0.0,,"of the question-and-answer site, quora",0.0,,"chief executive of the question-and-answer site, quora",0.0
,"helen toner, an openai board member, defended the research paper she co-wrote.",0,,Named_Person,No,,helen toner,0,,board member; a director of strategy at georgetown universitys center for security and emerging technology,0.0,,,0.0,,board member; a director of strategy at georgetown universitys center for security and emerging technology ,0.0
,"a few weeks before mr. altmans firing, he met with ms. toner to discuss a paper she had co-written for the georgetown center.",0,,Named_Person,No,,sam altman,0,,chief executive,0.0,,,0.0,,chief executive ,0.0
,"a few weeks before mr. altmans firing, he met with ms. toner to discuss a paper she had co-written for the georgetown center.",0,,Named_Person,No,,helen toner,0,,board member; a director of strategy at georgetown universitys center for security and emerging technology,0.0,,,0.0,,board member; a director of strategy at georgetown universitys center for security and emerging technology ,0.0
,ms. toner defended it as an academic paper that analyzed the challenges that the public faces when trying to understand the intentions of the countries and companies developing a.i.,0,,Named_Person,No,,helen toner,0,,board member; a director of strategy at georgetown universitys center for security and emerging technology,0.0,,,0.0,,board member; a director of strategy at georgetown universitys center for security and emerging technology ,0.0
,"this year, it disagreed over how to replace three departing directors: reid hoffman, the linkedin founder and a microsoft board member; shivon zilis, director of operations at neuralink, a company started by mr. musk to implant computer chips in peoples brains; and will hurd, a former republican congressman from texas.",0,,Named_Person,No,,reid hoffman,0,,linkedin founder; microsoft board member,0.0,,,0.0,,linkedin founder; microsoft board member ,0.0
,"this year, it disagreed over how to replace three departing directors: reid hoffman, the linkedin founder and a microsoft board member; shivon zilis, director of operations at neuralink, a company started by mr. musk to implant computer chips in peoples brains; and will hurd, a former republican congressman from texas.",0,,Named_Person,No,,shivon zilis,0,,director of operations at neuralink,0.0,,,0.0,,director of operations at neuralink ,0.0
,"this year, it disagreed over how to replace three departing directors: reid hoffman, the linkedin founder and a microsoft board member; shivon zilis, director of operations at neuralink, a company started by mr. musk to implant computer chips in peoples brains; and will hurd, a former republican congressman from texas.",0,,Named_Person,No,,will hurd,0,,former republican congressman from texas,0.0,,,0.0,,former republican congressman from texas ,0.0
,"nearly all of openais 800 employees had threatened to follow mr. altman to microsoft, which asked him to lead an a.i. lab with greg brockman, who quit his roles as openais president and board chairman in solidarity with mr. altman.",0,,Named_Person,No,,greg brockman,0,,openais president and board chairman,0.0,,,0.0,,openais president and board chairman ,0.0
,the board had told mr. brockman that he would no longer be openais chairman but invited him to stay on at the company  though he was not invited to the meeting where the decision was made to push him off the board and mr. altman out of the company.,0,,Named_Person,No,,greg brockman,0,,openais president and board chairman,0.0,,,0.0,,openais president and board chairman ,0.0
,"bret taylor, an early facebook officer and former co-chief executive of salesforce",0,,Named_Person,No,,bret taylor,0,,early facebook officer; former co-chief executive of salesforce,0.0,,,0.0,,early facebook officer; former co-chief executive of salesforce ,0.0
,"larry summers, the former treasury department secretary",0,,Named_Person,No,,larry summers,0,,former treasury department secretary,0.0,,,0.0,,former treasury department secretary ,0.0
,"nearly all of openais 800 employees had threatened to follow mr. altman to microsoft, which asked him to lead an a.i. lab with greg brockman, who quit his roles as openais president and board chairman in solidarity with mr. altman.",0,,Anonymous_Groups,No,,employees,0,,,0.0,,nearly all of openais 800,0.0,, nearly all of openais 800,0.0
,"senior openai leaders, including mr. sutskever, who is deeply concerned that a.i. could one day destroy humanity, later discussed whether ms. toner should be removed",0,,Anonymous_Groups,No,,,100,,,0.0,,a person involved in the conversations,0.0,, a person involved in the conversations,0.0
