SourcedStatement,SourceType,Name,Title,Justification
The Alameda County Registrar is scheduled to send the final ballot for printing on Friday.,Named Organization Sources,Alameda County Registrar,,election process
"Lawyers for the county asked for the hearing to be moved up to today, to ensure there was enough time to create the ballots.",Named Organization Sources,Alameda County,,court proceedings
The East Oakland Collective nonprofit cheered on the message.,Named Organization Sources,East Oakland Collective,,Instagram post
"“While we are disappointed by the court’s decision not to place us on the ballot in November, I remain undeterred in my commitment to serving Oakland and our communities,”",Named Person Sources,Tonya Love,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife,Instagram post
She thanked the Oakland City Clerk and the city attorney for helping her through the process.,Named Person Sources,Tonya Love,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife,Instagram post
"“We are moving forward because our campaign is committed to fighting for equity and social justice for our community in District 7,”",Named Person Sources,Tonya Love,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife,Instagram post
"“My dedication to our city does not begin nor end with a campaign. There are many ways to effect change and ensure our voices are heard. I will continue to work alongside each of you, advocating for public health, safety, and equitable development in Oakland.”",Named Person Sources,Tonya Love,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife,Instagram post
He was resigned to his failure to gather enough signatures–he picked up 37–but said he would work with whoever came out ahead in the race to help improve the community.,Named Person Sources,David Newton,nephew of Black Panther Party founder Huey Newton,interview with The Oaklandside
"Under the Voter’s Choice Act, registered voters on Election Day can cast their ballots at any vote center in Alameda County.",Document Sources,Voter's Choice Act,,state election code
Several community members and organizations such as the East Oakland Collective nonprofit cheered on the message.,Unnamed Group of People,community members and organizations,,Instagram post
"Locals to physically work with city staff to put up road infrastructure, like traffic islands, that slows down roads and leads to fewer collisions.",Unnamed Group of People,locals,,community pilot
