GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
it wasn't anything serious,"it wasn't anything serious, he told gazetteer sf over facetime from his home in hayward.",98,Named_Person,Named_Person,Yes,chris chike,chris chike,100,,,0,"the greatest dance dance revolution player in the world.,the greatest dance dance revolution player in the world; he told gazetteer sf over facetime from his home in hayward",,0.0," the greatest dance dance revolution player in the world.,the greatest dance dance revolution player in the world; he told gazetteer sf over facetime from his home in hayward", ,0.0
i wasn't extremely good at the game or anything.,i wasn't extremely good at the game or anything.,98,Named_Person,Named_Person,Yes,chris chike,chris chike,100,,,0,"the greatest dance dance revolution player in the world.,the greatest dance dance revolution player in the world; he told gazetteer sf over facetime from his home in hayward",,0.0," the greatest dance dance revolution player in the world.,the greatest dance dance revolution player in the world; he told gazetteer sf over facetime from his home in hayward", ,0.0
multiple contemporaneous comments called him a “god”,,0,Anonymous_Groups,,No,,,100,,,0,,,0.0, ,,0.0
one commenter heralded the task as “the pinnacle of human brain potential.”,,0,Anonymous_Source,,No,,,100,,,0,,,0.0, ,,0.0
"“he's the goat,” according to friend roger clark, a san francisco programmer and longtime ddr enthusiast. “everybody knows it. no one would deny it.”","he's the goat, according to friend roger clark, a san francisco programmer and longtime ddr enthusiast.everybody knows it.no one would deny it.",100,Named_Person,Named_Person,Yes,roger clark,roger clark,100,,,0,"longtime ddr enthusiast. san francisco programmer; the two first met in person at the ohio tournament, then grew close once they both lived in the bay area.,longtime ddr enthusiast. san francisco programmer",friend; longtime ddr enthusiast,0.925334632396698," longtime ddr enthusiast. san francisco programmer; the two first met in person at the ohio tournament, then grew close once they both lived in the bay area.,longtime ddr enthusiast. san francisco programmer", friend; longtime ddr enthusiast,0.925334632396698
"a sample comment on one of his practice runs, months before he made history: “that performance... no other way to describe it but... fucking legendary.”","a sample comment on one of his practice runs, months before he made history: that performance... no other way to describe it but... fucking legendary.",100,Anonymous_Source,Named_Organization,No,,guinness book,0,,,0,a sample comment on one of his practice runs,,0.0, a sample comment on one of his practice runs, ,0.0
"he began earning endorsement deals, and was profiled in several mainstream news publications, telling the new york times he wanted to buy a multi-thousand dollar ddr arcade cabinet.",telling the new york times he wanted to buy a multi-thousand dollar ddr arcade cabinet.,100,Named_Person,Named_Person,Yes,chris chike,chris chike,100,,,0,"the greatest dance dance revolution player in the world.,the greatest dance dance revolution player in the world; he told gazetteer sf over facetime from his home in hayward",,0.0," the greatest dance dance revolution player in the world.,the greatest dance dance revolution player in the world; he told gazetteer sf over facetime from his home in hayward", ,0.0
"(“we’re learning to pay for things when we have the money,” his mom, who reportedly managed those deals, told the outlet.)","(were learning to pay for things when we have the money, his mom, who reportedly managed those deals, told the outlet.)",100,Anonymous_Source,Named_Person,No,,chris chike's mom,0,,mom,0,"chris chike‘s mom, who reportedly managed those deals",reportedly managed those deals,0.9232277870178223," chris chike‘s mom, who reportedly managed those deals",mom reportedly managed those deals,0.7565698027610779
"i don’t think i would have any other reason to take it so seriously if it wasn’t for the community and the competition,","i dont think i would have any other reason to take it so seriously if it wasnt for the community and the competition, he said.",98,Named_Person,Named_Person,Yes,chris chike,chris chike,100,,,0,"the greatest dance dance revolution player in the world.,the greatest dance dance revolution player in the world; he told gazetteer sf over facetime from his home in hayward",,0.0," the greatest dance dance revolution player in the world.,the greatest dance dance revolution player in the world; he told gazetteer sf over facetime from his home in hayward", ,0.0
"you discover this group of people who’s really like-minded. it’s a really rare thing, because out in the normal world, there’s not a lot of people who think like me or have similar hobbies or have the grinder mentality for video games like me","its a really rare thing, because out in the normal world, theres not a lot of people who think like me or have similar hobbies or have the grinder mentality for video games like me.you discover this group of people whos really like-minded.",100,Named_Person,Named_Person,Yes,chris chike,chris chike,100,,,0,"the greatest dance dance revolution player in the world.,the greatest dance dance revolution player in the world; he told gazetteer sf over facetime from his home in hayward",,0.0," the greatest dance dance revolution player in the world.,the greatest dance dance revolution player in the world; he told gazetteer sf over facetime from his home in hayward", ,0.0
