,article_w_version,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.5700000000000001,1.0,0.5700000000000001,1.0,1.0,1.0,1.0,0.8153846153846154,0.8153846153846154,0.15,0.43,0.08063241106719368,11.4,11.4,1.8,21.8
1,1-Harris-Trump-Reuters-Poll_vv1,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.15,0.5,0.09090909090909091,10.0,10.0,2.0,22.0
2,1-Harris-Trump-Reuters-Poll_vv2,0.65,1.0,0.65,1.0,1.0,1.0,1.0,0.8461538461538461,0.8461538461538461,0.15,0.35,0.09090909090909091,13.0,13.0,2.0,22.0
3,1-Harris-Trump-Reuters-Poll_vv3,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.15,0.5,0.09090909090909091,10.0,10.0,2.0,22.0
4,1-Harris-Trump-Reuters-Poll_vv4,0.65,1.0,0.65,1.0,1.0,1.0,1.0,0.23076923076923078,0.23076923076923078,0.15,0.35,0.13043478260869565,13.0,13.0,3.0,23.0
5,1-Harris-Trump-Reuters-Poll_vv5,0.55,1.0,0.55,1.0,1.0,1.0,1.0,1.0,1.0,0.15,0.45,0.0,11.0,11.0,0.0,20.0
6,10-Nebraska-voting-rights_avg,0.825,0.8285714285714286,0.675,0.9142857142857143,0.8285714285714286,1.0,0.9142857142857143,0.45714285714285713,0.6095238095238095,0.675,0.175,0.48888888888888893,6.6,5.4,8.0,16.0
7,10-Nebraska-voting-rights_vv1,0.875,0.7142857142857143,0.625,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.625,0.125,0.5555555555555556,7.0,5.0,10.0,18.0
8,10-Nebraska-voting-rights_vv2,0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.75,0.25,0.3333333333333333,6.0,6.0,4.0,12.0
9,10-Nebraska-voting-rights_vv3,0.875,0.7142857142857143,0.625,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.625,0.125,0.5555555555555556,7.0,5.0,10.0,18.0
10,10-Nebraska-voting-rights_vv4,0.875,0.7142857142857143,0.625,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.625,0.125,0.5,7.0,5.0,8.0,16.0
11,10-Nebraska-voting-rights_vv5,0.75,1.0,0.75,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.75,0.25,0.5,6.0,6.0,8.0,16.0
12,11-Nebraska-felons-crim-justice_avg,0.8875,1.0,0.8875,1.0,1.0,1.0,1.0,0.5915032679738562,0.747549019607843,0.8375,0.11249999999999999,0.32736823361823364,17.75,17.75,10.25,30.25
13,11-Nebraska-felons-crim-justice_vv1,0.9,1.0,0.9,1.0,1.0,1.0,1.0,0.6111111111111112,0.7222222222222222,0.85,0.1,0.23076923076923078,18.0,18.0,6.0,26.0
14,11-Nebraska-felons-crim-justice_vv3,0.9,1.0,0.9,1.0,1.0,1.0,1.0,0.6666666666666666,0.7777777777777778,0.85,0.1,0.25925925925925924,18.0,18.0,7.0,27.0
15,11-Nebraska-felons-crim-justice_vv4,0.85,1.0,0.85,1.0,1.0,1.0,1.0,0.5882352941176471,0.8235294117647058,0.8,0.15,0.375,17.0,17.0,12.0,32.0
16,11-Nebraska-felons-crim-justice_vv5,0.9,1.0,0.9,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.85,0.1,0.4444444444444444,18.0,18.0,16.0,36.0
17,12-kids-lead-poisoning_avg,1.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.3333333333333333,2.0,1.0,1.0,3.0
18,12-kids-lead-poisoning_vv1,1.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.3333333333333333,2.0,1.0,1.0,3.0
19,12-kids-lead-poisoning_vv2,1.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.3333333333333333,2.0,1.0,1.0,3.0
20,12-kids-lead-poisoning_vv3,1.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.3333333333333333,2.0,1.0,1.0,3.0
21,12-kids-lead-poisoning_vv4,1.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.3333333333333333,2.0,1.0,1.0,3.0
22,12-kids-lead-poisoning_vv5,1.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.3333333333333333,2.0,1.0,1.0,3.0
23,13-pilot-curb-evictions_avg,0.9571428571428573,0.8505494505494505,0.8142857142857143,0.7164835164835165,0.7164835164835165,0.8444444444444444,0.7164835164835165,0.10329670329670329,0.265934065934066,0.6142857142857143,0.04285714285714286,0.6033685268979387,13.4,9.6,21.4,35.4
24,13-pilot-curb-evictions_vv1,1.0,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.7142857142857143,0.14285714285714285,0.35714285714285715,0.6428571428571429,0.0,0.5882352941176471,14.0,10.0,20.0,34.0
25,13-pilot-curb-evictions_vv2,0.9285714285714286,0.9230769230769231,0.8571428571428571,0.7692307692307693,0.7692307692307693,0.8333333333333334,0.7692307692307693,0.07692307692307693,0.3076923076923077,0.6428571428571429,0.07142857142857142,0.6111111111111112,13.0,10.0,22.0,36.0
26,13-pilot-curb-evictions_vv3,1.0,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.7142857142857143,0.14285714285714285,0.35714285714285715,0.6428571428571429,0.0,0.5882352941176471,14.0,10.0,20.0,34.0
