SourcedStatement,SourceType,Name,Title,Justification
"the government of Texas bussed migrants, crossing into the U.S. since the spring of 2022, to Democrat strongholds in Chicago and New York City.",Named Organization Sources,government of Texas,,the government of Texas
the New York Immigration Coalition,Named Organization Sources,New York Immigration Coalition,,New York Immigration Coalition
African Communities Together (ACT),Named Organization Sources,African Communities Together (ACT),,African Communities Together (ACT)
"“There is concern that they’ll [asylum restrictions] actually be implemented more effectively. Last time, he didn’t expect to win and didn’t have a professional class built around him that could actually get things done in government in general,”",Named Person Sources,Brian Manning,political asylum lawyer and former government asylum officer,a political asylum lawyer and former government asylum officer
"“It is safe to assume that after the many missteps of his first presidency, that his administration would be better equipped to learn from their past mistakes and more effectively attack immigrant communities from the White House,”",Named Person Sources,Marlene Galaz,"Director of Immigrant Rights Policy, New York Immigration Coalition","Director of Immigrant Rights Policy, New York Immigration Coalition"
"“The stuff about immigration is pretty severe. There are talks around the Project 2025 crowd about eliminating work authorization for asylum seekers, getting rid of TPS, Temporary Protected Status,”",Named Person Sources,Brian Manning,political asylum lawyer and former government asylum officer,a political asylum lawyer and former government asylum officer
"“We anticipate the president, Trump, to use its executive authority to implement these policies — but again, we anticipate we should be able to challenge,”",Named Person Sources,Nils Kinuani,Federal Policy Manager at African Communities Together (ACT),Federal Policy Manager at African Communities Together (ACT)
"“It is not impossible but it becomes harder to challenge that. But, again … it is very unlikely given the current political climate.”",Named Person Sources,Nils Kinuani,Federal Policy Manager at African Communities Together (ACT),Federal Policy Manager at African Communities Together (ACT)
What Project 2025 states about asylum,Document Sources,Project 2025,,a plan created by a conservative think tank with ties to Trump
"as Documented covered in the past, this led to the expulsion of more than 2.8 million people.",Document Sources,Documented,,as Documented covered in the past
Fifty-two percent of 170 respondents said they need more information about what will happen to asylum.,Unnamed Group of People,respondents,,our Spanish-speaking readers
many of whom were passengers on these Texas-funded buses.,Unnamed Group of People,migrants,,crossing into the U.S. since the spring of 2022
"an estimated 64,000 migrants still remain under NYC’s care.",Unnamed Group of People,migrants,,under NYC’s care
