article_w_version,model_name,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
1-Harris-Trump-Reuters-Poll_avg,deepseek-chat-0.0-r,0.5,0.2,0.1,0.8,0.2,1.0,0.8,0.2,0.2,0.1,0.5,0.0,10.0,2.0,0.0,20.0
10-Nebraska-voting-rights_avg,deepseek-chat-0.0-r,0.75,0.8333333333333334,0.625,1.0,0.8333333333333334,1.0,1.0,0.6666666666666666,0.6666666666666666,0.625,0.25,0.2,6.0,5.0,2.0,10.0
11-Nebraska-felons-crim-justice_avg,deepseek-chat-0.0-r,0.75,0.8,0.6,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.6666666666666666,0.4666666666666667,0.6,0.4,0.25,0.047619047619047616,15.0,9.0,1.0,21.0
12-kids-lead-poisoning_avg,deepseek-chat-0.0-r,1.0,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.7142857142857143,2.0,0.0,5.0,7.0
13-pilot-curb-evictions_avg,deepseek-chat-0.0-r,0.7857142857142857,0.5454545454545454,0.42857142857142855,0.45454545454545453,0.45454545454545453,0.8333333333333334,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.2857142857142857,0.21428571428571427,0.48148148148148145,11.0,6.0,13.0,27.0
14-many-police-calls_avg,deepseek-chat-0.0-r,0.782608695652174,0.8888888888888888,0.6956521739130435,0.7777777777777778,0.7777777777777778,0.875,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.5652173913043478,0.21739130434782608,0.28125,18.0,14.0,9.0,32.0
15-Newsom-declares-emergency_avg,deepseek-chat-0.0-r,0.9333333333333333,0.9285714285714286,0.8666666666666667,0.7857142857142857,0.7857142857142857,0.8461538461538461,0.7857142857142857,0.2857142857142857,0.35714285714285715,0.4666666666666667,0.06666666666666667,0.3181818181818182,14.0,12.0,7.0,22.0
16-America's-Sleeping-Giant_avg,deepseek-chat-0.0-r,0.5384615384615384,0.8571428571428571,0.46153846153846156,0.7142857142857143,0.7142857142857143,0.8333333333333334,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.23076923076923078,0.46153846153846156,0.1875,7.0,5.0,3.0,16.0
17-homelessness-santa-clara_avg,deepseek-chat-0.0-r,0.55,0.7272727272727273,0.4,0.6363636363636364,0.5454545454545454,0.75,0.6363636363636364,0.0,0.0,0.2,0.45,0.047619047619047616,11.0,6.0,1.0,21.0
18-wyoming-primary-dems_avg,deepseek-chat-0.0-r,0.6153846153846154,0.875,0.5384615384615384,0.875,0.875,1.0,0.875,0.875,1.0,0.5384615384615384,0.38461538461538464,0.1875,8.0,7.0,3.0,16.0
19-oakland-sues-SW-airlines_avg,deepseek-chat-0.0-r,0.5833333333333334,0.5714285714285714,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.75,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.4166666666666667,0.07692307692307693,7.0,3.0,1.0,13.0
2-Best-DDR-player_avg,deepseek-chat-0.0-r,0.5238095238095238,0.9090909090909091,0.47619047619047616,0.9090909090909091,0.9090909090909091,1.0,0.9090909090909091,0.45454545454545453,0.45454545454545453,0.19047619047619047,0.47619047619047616,0.045454545454545456,11.0,10.0,1.0,22.0
20-bill-easier-access_avg,deepseek-chat-0.0-r,0.75,0.8333333333333334,0.625,1.0,0.8333333333333334,1.0,1.0,0.0,0.5,0.375,0.25,0.1111111111111111,6.0,5.0,1.0,9.0
21-trump-kamala-mispronounce_avg,deepseek-chat-0.0-r,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,3.0,3.0,6.0,9.0
22-Judge-rules-breona-taylor_avg,deepseek-chat-0.0-r,0.75,0.75,0.5625,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.75,0.4166666666666667,0.5,0.375,0.25,0.15789473684210525,12.0,9.0,3.0,19.0
23-black-landowners-11mins_avg,deepseek-chat-0.0-r,0.5625,0.6666666666666666,0.375,0.5555555555555556,0.5555555555555556,0.8333333333333334,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.25,0.4375,0.1111111111111111,9.0,5.0,2.0,18.0
