GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"now, officials at the plant told morning edition that the army is producing 36,000 shells a month, up from 24,000 just six months ago.","the u.s. army was making 14,000 artillery shells a month prior to the conflict. now, officials at the plant told morning edition that the army is producing 36,000 shells a month, up from 24,000 just six months ago.",100,Anonymous_Groups,Anonymous_Groups,Yes,officials,,0,,officials,0.0,"the u.s. army was making 14,000 artillery shells a month prior to the conflict.",at the plant,0.005542457103729248," the u.s. army was making 14,000 artillery shells a month prior to the conflict.",officials at the plant,0.08648116886615753
"“we’re all about quality jobs, and that’s a quality organization,” bob durkin, the president and chief executive officer of the scranton chamber of commerce said. “so the infusion of additional funding to support is important to us.”","were all about quality jobs, and thats a quality organization,.so the infusion of additional funding to support is important to us.",97.0,Named_Person,Named_Person,Yes,bob durkin,bob durkin,100,president and chief executive officer of the scranton chamber of commerce,president and chief executive officer of the scranton chamber of commerce,1.000000238418579,,,0.0,president and chief executive officer of the scranton chamber of commerce ,president and chief executive officer of the scranton chamber of commerce ,1.000000238418579
"“it’s not $277 million that stays here. but, you know, it’s a good chunk of it,” cartwright said. “and it’s important that we keep that work coming.”","its not $277 million that stays here. but, you know, its a good chunk of it,.and its important that we keep that work coming..with the ukraine support, you know, one day i was sitting there thinking about what needs to be done, and it kind of hit me that what we were doing directly affects whether people live or die,",100.0,Named_Person,Named_Person,Yes,matt cartwright,matt cartwright,100,congressman,congressman; sits on the house appropriations committee and represents scranton and other parts of northeastern pennsylvania,0.4761444628238678,who sits on the house appropriations committee and represents scranton and other parts of northeastern pennsylvania,,0.0,congressman who sits on the house appropriations committee and represents scranton and other parts of northeastern pennsylvania,congressman; sits on the house appropriations committee and represents scranton and other parts of northeastern pennsylvania ,0.9852659702301025
"“i don’t really think that people dwell or concentrate on anything that’s going on outside of their sphere of influence,” rich hansen, the commander’s representative at the scranton army ammunition plant, said. we’re kind of busy concentrating on what’s going on in scranton.”","i dont really think that people dwell or concentrate on anything thats going on outside of their sphere of influence,were kind of busy concentrating on whats going on in scranton.",97,Named_Person,Named_Person,Yes,rich hansen,rich hansen,100,commander’s representative at the scranton army ammunition plant,commanders representative at the scranton army ammunition plant,0.9724425673484802,"but at the scranton army ammunition plant, politics are hardly a concern:",,0.0,"commander’s representative at the scranton army ammunition plant but at the scranton army ammunition plant, politics are hardly a concern:",commanders representative at the scranton army ammunition plant ,0.9481632113456726
"“we had a job fair in the middle of a heat wave and there was still a line going out of the door,” danielle weinschenk, the lead public affairs specialist at the tobyhanna army depot said. “we had another one when it was pouring rain, and the same thing happened.”","we had a job fair in the middle of a heat wave and there was still a line going out of the door,we had another one when it was pouring rain, and the same thing happened.",99,Named_Person,Named_Person,Yes,danielle weinschenk,danielle weinschenk,100,lead public affairs specialist at the tobyhanna army depot,lead public affairs specialist at the tobyhanna army depot,1.0,"the tobyhanna army depot, which specializes in logistics support and radar equipment for foreign allies such as ukraine, estimates that the company has a $2.4 billion dollar impact on the area and that it is the largest industrial employer in the region.",,0.0,"lead public affairs specialist at the tobyhanna army depot the tobyhanna army depot, which specializes in logistics support and radar equipment for foreign allies such as ukraine, estimates that the company has a $2.4 billion dollar impact on the area and that it is the largest industrial employer in the region.",lead public affairs specialist at the tobyhanna army depot ,0.9644807577133179
"“with the ukraine support, you know, one day i was sitting there thinking about what needs to be done, and it kind of hit me that what we were doing directly affects whether people live or die,” said jim jarick, a senior technology center engineer at the tobyhanna army depot. “if we aren’t doing our job correctly, people could die tomorrow. and that just put this whole thing in perspective for me.”","its not $277 million that stays here. but, you know, its a good chunk of it,",100,Named_Person,Named_Person,Yes,jim jarick,matt cartwright,40,senior technology center engineer at the tobyhanna army depot,congressman; sits on the house appropriations committee and represents scranton and other parts of northeastern pennsylvania,0.1174440085887909,"but for some who work here, these jobs aren’t just about money.",,0.0,"senior technology center engineer at the tobyhanna army depot but for some who work here, these jobs aren’t just about money.",congressman; sits on the house appropriations committee and represents scranton and other parts of northeastern pennsylvania ,0.15289664268493652
"“if we aren’t doing our job correctly, people could die tomorrow. and that just put this whole thing in perspective for me.”","if we arent doing our job correctly, people could die tomorrow. and that just put this whole thing in perspective for me.",100,Named_Person,Named_Person,Yes,jim jarick,jim jarick,100,senior technology center engineer at the tobyhanna army depot,senior technology center engineer at the tobyhanna army depot,1.0,"but for some who work here, these jobs aren’t just about money.",,0.0,"senior technology center engineer at the tobyhanna army depot but for some who work here, these jobs aren’t just about money.",senior technology center engineer at the tobyhanna army depot ,0.9085218906402588
"mark cancian, a senior advisor at the center for strategic and international studies, told morning edition that ukraine receives around 90,000 artillery shells a month, but that’s still not enough to keep up with russia’s firing power.","mark cancian, a senior advisor at the center for strategic and international studies, told morning edition that ukraine receives around 90,000 artillery shells a month, but thats still not enough to keep up with russias firing power.",100,Named_Person,Named_Person,Yes,mark cancian,mark cancian,100,senior advisor at the center for strategic and international studies,senior advisor at the center for strategic and international studies,1.0,"but keeping up with the ukraine’s needs isn’t easy: it’s estimated that russia produces 250,000 artillery shells a month – three times more than the u.s. military’s goal.",,0.0,"senior advisor at the center for strategic and international studies but keeping up with the ukraine’s needs isn’t easy: it’s estimated that russia produces 250,000 artillery shells a month – three times more than the u.s. military’s goal.",senior advisor at the center for strategic and international studies ,0.4979827404022217
"“at the height of last year’s counteroffensive, the ukrainians were firing about 6,000 a day, ” cancian said. “the russians are [firing] probably about 10,000 a day.”","at the height of last years counteroffensive, the ukrainians were firing about 6,000 a day, the russians are [firing] probably about 10,000 a day.",100,Named_Person,Named_Person,Yes,mark cancian,mark cancian,100,senior advisor at the center for strategic and international studies,senior advisor at the center for strategic and international studies,1.0,"but keeping up with the ukraine’s needs isn’t easy: it’s estimated that russia produces 250,000 artillery shells a month – three times more than the u.s. military’s goal.",,0.0,"senior advisor at the center for strategic and international studies but keeping up with the ukraine’s needs isn’t easy: it’s estimated that russia produces 250,000 artillery shells a month – three times more than the u.s. military’s goal.",senior advisor at the center for strategic and international studies ,0.4979827404022217
"col. olksandr popov, the commander of a ukrainian artillery unit, estimates that they need about 30 to 40 shells to take out one russian target, which is why these artillery shells are at the top of ukraine’s list of needs.","col. olksandr popov, the commander of a ukrainian artillery unit, estimates that they need about 30 to 40 shells to take out one russian target, which is why these artillery shells are at the top of ukraines list of needs.",100,Named_Person,Named_Person,Yes,olksandr popov,olksandr popov,100,colonel,col.; commander of a ukrainian artillery unit,0.43483224511146545,"the commander of a ukrainian artillery unit,",,0.0,"colonel the commander of a ukrainian artillery unit,",col.; commander of a ukrainian artillery unit ,0.9369121789932251
"“our first task is to save our people,” popov said. “without artillery, we cannot do this.”","our first task is to save our people,without artillery, we cannot do this.",97,Named_Person,Named_Person,Yes,olksandr popov,olksandr popov,100,colonel,col.; commander of a ukrainian artillery unit,0.43483224511146545,"the commander of a ukrainian artillery unit,",,0.0,"colonel the commander of a ukrainian artillery unit,",col.; commander of a ukrainian artillery unit ,0.9369121789932251
,"the tobyhanna army depot, which specializes in logistics support and radar equipment for foreign allies such as ukraine, estimates that the company has a $2.4 billion dollar impact on the area and that it is the largest industrial employer in the region.",0,,Named_Organization,No,,tobyhanna army depot,0,,,0.0,,which specializes in logistics support and radar equipment for foreign allies such as ukraine,0.0,, which specializes in logistics support and radar equipment for foreign allies such as ukraine,0.0
,"officials at tobyhanna estimate that its average annual salary is $30,000 higher than the average salary in northeastern pennsylvania, which is around $58,000 in 2021.",0,,Named_Organization,No,,tobyhanna army depot,0,,,0.0,,which specializes in logistics support and radar equipment for foreign allies such as ukraine,0.0,, which specializes in logistics support and radar equipment for foreign allies such as ukraine,0.0
,"ukraine has said that it will need more ammunition from the united states and other allies, since russia is able to produce ammunition at a much faster rate. the biden administration announced this month it would be sending an additional $250 million dollars worth of new military aid to ukraine, including air defense missiles and 155mm howitzer rounds.",0,,Named_Organization,No,,ukraine,0,,,0.0,,,0.0,, ,0.0
,"this plant makes weapons for ukraine and taiwan, but cannot give specific numbers on how many are going to each country for security reasons.",0,,Anonymous_Groups,No,,,100,,,0.0,,,0.0,, ,0.0
