GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"more than 930,000 travelers will funnel through sfo from thursday through tuesday, according to sfo spokesperson doug yakel.","more than 930,000 travelers will funnel through sfo from thursday through tuesday, according to sfo spokesperson doug yakel.",100,Named_Person,Named_Person,Yes,doug yakel,doug yakel,100,sfo spokesperson,sfo spokesperson,1.0,said by email,,0.0,sfo spokesperson said by email,sfo spokesperson ,0.8115065693855286
"it’s also close to the number of travelers sfo saw in 2019, just months before the pandemic. this year’s prediction is 97% of what the airport handled five years ago, yakel said by email.","this years prediction is 97% of what the airport handled five years ago, yakel said by email.",100,Named_Person,Named_Person,Yes,doug yakel,doug yakel,100,sfo spokesperson,sfo spokesperson,1.0,said by email,,0.0,sfo spokesperson said by email,sfo spokesperson ,0.8115065693855286
"to make it on time, holiday travelers should arrive at the airport two hours before domestic flights and three hours before international ones, yakel said.","to make it on time, holiday travelers should arrive at the airport two hours before domestic flights and three hours before international ones, yakel said..parking at airport garages will be in short supply this weekend, so travelers who want to leave cars at sfo should reserve spaces online as soon as possible, yakel said.",100.0,Named_Person,Named_Person,Yes,doug yakel,doug yakel,100,sfo spokesperson,sfo spokesperson,1.0,said by email,,0.0,sfo spokesperson said by email,sfo spokesperson ,0.8115065693855286
united airlines advised passengers to leave even more time. the standard viewed one friday-morning boarding pass for a chicago-bound flight that warned of long security lines and recommended arriving three hours early.,the standard viewed one friday-morning boarding pass for a chicago-bound flight that warned of long security lines and recommended arriving three hours early..the standard viewed one friday-morning boarding pass for a chicago-bound flight that warned of long security lines and recommended arriving three hours early.,100.0,Named_Organization,Documents,No,united airlines,,0,,,0.0,"the standard viewed one friday-morning boarding pass for a chicago-bound flight,the spokesperson shared a corrected advisory",,0.0," the standard viewed one friday-morning boarding pass for a chicago-bound flight,the spokesperson shared a corrected advisory", ,0.0
"a united airlines spokesperson said the three-hour warning was issued by mistake: somehow the company posted a years-old notice to the chicago-bound boarding pass. the spokesperson shared a corrected advisory that suggested passengers “arrive early to avoid delays,” and to get a head start by checking bags from home and leaving luggage in the bag drop shortcut area at the airport.",a united airlines spokesperson said the three-hour warning was issued by mistake: somehow the company posted a years-old notice to the chicago-bound boarding pass.,100,Named_Organization,Named_Organization,Yes,united airlines,united airlines,100,,,0.0,"the standard viewed one friday-morning boarding pass for a chicago-bound flight,the spokesperson shared a corrected advisory",,0.0," the standard viewed one friday-morning boarding pass for a chicago-bound flight,the spokesperson shared a corrected advisory", ,0.0
"yakel said sfo has not been advised of staffing woes for thursday, which was expected to be the busiest day of travel at the airport.","yakel said sfo has not been advised of staffing woes for thursday, which was expected to be the busiest day of travel at the airport.",100,Named_Person,Named_Person,Yes,doug yakel,doug yakel,100,sfo spokesperson,sfo spokesperson,1.0,said by email,,0.0,sfo spokesperson said by email,sfo spokesperson ,0.8115065693855286
"“i have tsa pre, so that should make it a little easier,” said bay area resident katelin tharp, who on thursday was booted from an overbooked flight to boston, where she’s beginning her fifth year at northeastern university. she was ready to try again later. “so, i’ll be hanging out for a little bit.”","i have tsa pre, so that should make it a little easier, said bay area resident katelin tharp, who on thursday was booted from an overbooked flight to boston, where shes beginning her fifth year at northeastern university.so, ill be hanging out for a little bit.",100,Named_Person,Named_Person,Yes,katelin tharp,katelin tharp,100,bay area resident,,0.0,who on thursday was booted from an overbooked flight to boston,bay area resident;booted from an overbooked flight to boston;beginning her fifth year at northeastern university,0.5681121349334717,bay area resident who on thursday was booted from an overbooked flight to boston, bay area resident;booted from an overbooked flight to boston;beginning her fifth year at northeastern university,0.7730626463890076
"“we’re sad since we just said goodbye to our one friend, and we don’t know if we’re ever going to see her again,” ellie mitchell, of the united kingdom, told the standard.","were sad since we just said goodbye to our one friend, and we dont know if were ever going to see her again, ellie mitchell, of the united kingdom, told the standard.",100,Named_Person,Anonymous_Groups,No,ellie mitchell,friends;quartet of friends,25,,,0.0,"they had zigzagged across the country by plane — highlights included stops in florida, nashville, and lake tahoe — after working together at a new york summer camp.","a quartet of friends was at the airport with time to spare so they could say goodbye to one of the crew who was homeward bound to australia.;they had zigzagged across the country by plane  highlights included stops in florida, nashville, and lake tahoe  after working together at a new york summer camp.",0.9999998807907104," they had zigzagged across the country by plane — highlights included stops in florida, nashville, and lake tahoe — after working together at a new york summer camp."," a quartet of friends was at the airport with time to spare so they could say goodbye to one of the crew who was homeward bound to australia.;they had zigzagged across the country by plane  highlights included stops in florida, nashville, and lake tahoe  after working together at a new york summer camp.",0.9999998807907104
"parking at airport garages will be in short supply this weekend, so travelers who want to leave cars at sfo should reserve spaces online as soon as possible, yakel said.","to make it on time, holiday travelers should arrive at the airport two hours before domestic flights and three hours before international ones, yakel said.",100,Named_Person,Named_Person,Yes,doug yakel,doug yakel,100,sfo spokesperson,sfo spokesperson,1.0,said by email,,0.0,sfo spokesperson said by email,sfo spokesperson ,0.8115065693855286
"there are no major projects on the freeways near sfo, so with a bit of luck, drivers headed to the airport shouldn’t face major delays, caltrans officials said.",caltrans officials said.,100,Named_Organization,Anonymous_Groups,No,caltrans,caltrans officials,62,caltrans officials,,0.0,,,0.0,caltrans officials , ,0.0
,she was ready to try again later.,0,,Named_Person,No,,katelin tharp,0,,,0.0,,bay area resident;booted from an overbooked flight to boston;beginning her fifth year at northeastern university,0.0,, bay area resident;booted from an overbooked flight to boston;beginning her fifth year at northeastern university,0.0
,"the spokesperson shared a corrected advisory that suggested passengers arrive early to avoid delays, and to get a head start by checking bags from home and leaving luggage in the bag drop shortcut area at the airport.",0,,Named_Organization,No,,united airlines,0,,,0.0,,,0.0,, ,0.0
,thats 8.7% more than last years labor day weekend.,0,,Named_Person,No,,doug yakel,0,,sfo spokesperson,0.0,,,0.0,,sfo spokesperson ,0.0
,one lot for international flights had already sold out for the weekend by thursday; the other was almost fully reserved.,0,,Named_Person,No,,doug yakel,0,,sfo spokesperson,0.0,,,0.0,,sfo spokesperson ,0.0
