SourcedStatement,SourceType,Name,Title,Justification
"“After a series of reasonably amicable negotiations, the co-founders of Anthropic were able to negotiate their exit on mutually agreeable terms,” an Anthropic spokeswoman, Sally Aldous, said.",Named Organization Sources,Anthropic,,
"In a second statement, Anthropic added that there was “no attempt to ‘oust’ Sam Altman at the time the founders of Anthropic left OpenAI.”",Named Organization Sources,Anthropic,,
Sam Altman called an OpenAI board member’s research paper a danger to the company weeks before he was ousted as its chief executive.,Named Person Sources,Sam Altman,chief executive,
"At one point, Mr. Altman, the chief executive, made a move to push out one of the board’s members because he thought a research paper she had co-written was critical of the company.",Named Person Sources,Sam Altman,chief executive,
"Another member, Ilya Sutskever, thought Mr. Altman was not always being honest when talking with the board.",Named Person Sources,Ilya Sutskever,board member,
"The news that he was being pushed out came in a videoconference on Friday afternoon, when Mr. Sutskever, who had worked closely with Mr. Altman at OpenAI for eight years, read him a statement.",Named Person Sources,Ilya Sutskever,board member,who had worked closely with Mr. Altman at OpenAI for eight years
"Those tensions seemingly came to an end late Tuesday when Mr. Altman was reinstated as chief executive. Mr. Sutskever and others critical of Mr. Altman were jettisoned from the board, whose members now include Bret Taylor, an early Facebook officer and former co-chief executive of Salesforce, and Larry Summers, the former Treasury Department secretary.",Named Person Sources,Bret Taylor,former co-chief executive of Salesforce,an early Facebook officer and former co-chief executive of Salesforce
"Those tensions seemingly came to an end late Tuesday when Mr. Altman was reinstated as chief executive. Mr. Sutskever and others critical of Mr. Altman were jettisoned from the board, whose members now include Bret Taylor, an early Facebook officer and former co-chief executive of Salesforce, and Larry Summers, the former Treasury Department secretary.",Named Person Sources,Larry Summers,former Treasury Department secretary,the former Treasury Department secretary
"The only holdover is Adam D’Angelo, chief executive of the question-and-answer site, Quora.",Named Person Sources,Adam D’Angelo,"chief executive of the question-and-answer site, Quora",
"Among the tensions leading up to Mr. Altman’s ouster and quick return involved his conflict with Helen Toner, a board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology.",Named Person Sources,Helen Toner,board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology,
"A few weeks before Mr. Altman’s firing, he met with Ms. Toner to discuss a paper she had co-written for the Georgetown center.",Named Person Sources,Helen Toner,board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology,
"Mr. Altman complained that the research paper seemed to criticize OpenAI’s efforts to keep its A.I. technologies safe while praising the approach taken by Anthropic, a company that has become OpenAI’s biggest rival, according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times.",Named Person Sources,Sam Altman,chief executive,
"In the email, Mr. Altman said that he had reprimanded Ms. Toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the Federal Trade Commission was investigating OpenAI over the data used to build its technology.",Named Person Sources,Sam Altman,chief executive,
Ms. Toner defended it as an academic paper that analyzed the challenges that the public faces when trying to understand the intentions of the countries and companies developing A.I.,Named Person Sources,Helen Toner,board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology,
"“I did not feel we’re on the same page on the damage of all this,” he wrote in the email. “Any amount of criticism from a board member carries a lot of weight.”",Named Person Sources,Sam Altman,chief executive,
The statement he read to Mr. Altman said that Mr. Altman was being fired because he wasn’t “consistently candid in his communications with the board.”,Named Person Sources,Ilya Sutskever,board member,
"“After a series of reasonably amicable negotiations, the co-founders of Anthropic were able to negotiate their exit on mutually agreeable terms,” an Anthropic spokeswoman, Sally Aldous, said.",Named Person Sources,Sally Aldous,Anthropic spokeswoman,
"In a second statement, Anthropic added that there was “no attempt to ‘oust’ Sam Altman at the time the founders of Anthropic left OpenAI.”",Named Person Sources,Sally Aldous,Anthropic spokeswoman,
"Vacancies exacerbated the board’s issues. This year, it disagreed over how to replace three departing directors: Reid Hoffman, the LinkedIn founder and a Microsoft board member; Shivon Zilis, director of operations at Neuralink, a company started by Mr. Musk to implant computer chips in people’s brains; and Will Hurd, a former Republican congressman from Texas.",Named Person Sources,Reid Hoffman,LinkedIn founder and a Microsoft board member,
