GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
,"the tobyhanna army depot, which specializes in logistics support and radar equipment for foreign allies such as ukraine, estimates that the company has a $2.4 billion dollar impact on the area and that it is the largest industrial employer in the region.",0,,Named_Organization,No,,tobyhanna army depot,0,,,0.0,,which specializes in logistics support and radar equipment for foreign allies such as ukraine,0.0,, which specializes in logistics support and radar equipment for foreign allies such as ukraine,0.0
,"officials at tobyhanna estimate that its average annual salary is $30,000 higher than the average salary in northeastern pennsylvania, which is around $58,000 in 2021.",0,,Named_Organization,No,,tobyhanna army depot,0,,,0.0,,which specializes in logistics support and radar equipment for foreign allies such as ukraine,0.0,, which specializes in logistics support and radar equipment for foreign allies such as ukraine,0.0
,"ukraine has said that it will need more ammunition from the united states and other allies, since russia is able to produce ammunition at a much faster rate. the biden administration announced this month it would be sending an additional $250 million dollars worth of new military aid to ukraine, including air defense missiles and 155mm howitzer rounds.",0,,Named_Organization,No,,ukraine,0,,,0.0,,,0.0,, ,0.0
,so the infusion of additional funding to support is important to us.,0,,Named_Person,No,,bob durkin,0,,president and chief executive officer of the scranton chamber of commerce,0.0,,,0.0,,president and chief executive officer of the scranton chamber of commerce ,0.0
,and its important that we keep that work coming.,0,,Named_Person,No,,matt cartwright,0,,congressman; sits on the house appropriations committee and represents scranton and other parts of northeastern pennsylvania,0.0,,pointed to a $277 million raytheon contract to illustrate this point.,0.0,,congressman; sits on the house appropriations committee and represents scranton and other parts of northeastern pennsylvania pointed to a $277 million raytheon contract to illustrate this point.,0.0
,were kind of busy concentrating on whats going on in scranton.,0,,Named_Person,No,,rich hansen,0,,commanders representative at the scranton army ammunition plant,0.0,,,0.0,,commanders representative at the scranton army ammunition plant ,0.0
,"we had another one when it was pouring rain, and the same thing happened.",0,,Named_Person,No,,danielle weinschenk,0,,lead public affairs specialist at the tobyhanna army depot,0.0,,,0.0,,lead public affairs specialist at the tobyhanna army depot ,0.0
,"with the ukraine support, you know, one day i was sitting there thinking about what needs to be done, and it kind of hit me that what we were doing directly affects whether people live or die,",0,,Named_Person,No,,jim jarick,0,,senior technology center engineer at the tobyhanna army depot,0.0,,,0.0,,senior technology center engineer at the tobyhanna army depot ,0.0
,"the russians are [firing] probably about 10,000 a day.",0,,Named_Person,No,,mark cancian,0,,senior advisor at the center for strategic and international studies,0.0,,,0.0,,senior advisor at the center for strategic and international studies ,0.0
,"without artillery, we cannot do this.",0,,Named_Person,No,,olksandr popov,0,,col.; commander of a ukrainian artillery unit,0.0,,,0.0,,col.; commander of a ukrainian artillery unit ,0.0
,"this plant makes weapons for ukraine and taiwan, but cannot give specific numbers on how many are going to each country for security reasons.",0,,Anonymous_Groups,No,,,100,,,0.0,,,0.0,, ,0.0
