GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"about nine months ago, the two men agreed he could withhold rent until repairs were made, he said.","about nine months ago, the two men agreed he could withhold rent until repairs were made, he said.",100,Named_Person,Named_Person,Yes,bryant woods,bryant woods,100,,,0,"one day last fall, bryant woods’ rotted-out flooring opened up beneath his 11-year-old daughter.",,0," one day last fall, bryant woods’ rotted-out flooring opened up beneath his 11-year-old daughter.", ,0
"he couldn’t prove his missed rent payments were part of a verbal agreement, so the judge granted the property owner’s request and told woods his family had 10 days to move.","he couldnât prove his missed rent payments were part of a verbal agreement, so the judge granted the property ownerâs request and told woods his family had 10 days to move.",98,Anonymous_Source,Named_Person,No,judge,bryant woods,12,,,0,,,0, , ,0
"the cash didn’t make it to mals until february 2024, due to problems with how the county commission resolution was originally drafted, henderson said.","the cash didnât make it to mals until february 2024, due to problems with how the county commission resolution was originally drafted, henderson said.",100,Named_Person,Named_Organization,No,deborah henderson,mals,19,judge,,0,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.", ,0
but henderson has been happy with the results since then.,but henderson has been happy with the results since then.,100,Named_Person,Named_Person,Yes,deborah henderson,deborah henderson,100,judge,,0,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.", ,0
"recently, mals worked with a woman who was living in a house that “should not be lived in by anyone” and was starting to fall behind on rent, henderson said.","the cash didnât make it to mals until february 2024, due to problems with how the county commission resolution was originally drafted, henderson said.",100,Named_Person,Named_Organization,No,deborah henderson,mals,19,judge,,0,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.", ,0
though the program has only helped a couple of tenants so far — not 300 — henderson believes it’s already proving its value.,though the program has only helped a couple of tenants so far â not 300 â henderson believes itâs already proving its value.,95,Named_Person,Named_Person,Yes,deborah henderson,deborah henderson,100,judge,,0,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.", ,0
"there are no income limits or income requirements, if you’re a tenant who is having trouble with your landlord, you need to give us a call. … if you’re a landlord and you have a troublesome tenant … give us a call.","âif youâre a tenant who is having trouble with your landlord, you need to give us a call.",100,Named_Person,Named_Person,Yes,deborah henderson,deborah henderson,100,judge,,0,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.", ,0
"nicole grida, the new mals ceo, said her team has started creating marketing materials for the program, building partnerships with local nonprofits and screening folks who call in for other services to see if they will fit the program’s criteria, which has resulted in many promising leads.","nicole grida, the new mals ceo, said her team has started creating marketing materials for the program, building partnerships with local nonprofits and screening folks who call in for other services to see if they will fit the programâs criteria, which has resulted in many promising leads.",100,Named_Person,Named_Organization,No,nicole grida,mals,12,"ceo, mals",,0,"its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.",,0,"ceo, mals its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.", ,0
"for the program to succeed, grida said raising greater awareness will be key, as most memphians it could help don’t yet know it exists.","for the program to succeed, grida said raising greater awareness will be key, as most memphians it could help donât yet know it exists.",100,Named_Person,Named_Person,Yes,nicole grida,nicole grida,100,"ceo, mals",,0,"its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.",,0,"ceo, mals its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.", ,0
"woods’ case, for instance, sounded like a perfect fit for mediation, henderson said, if only they’d found him before the eviction was filed.","woodsâ case, for instance, sounded like a perfect fit for mediation, henderson said, if only theyâd found him before the eviction was filed.",100,Named_Person,Named_Person,Yes,deborah henderson,deborah henderson,100,judge,,0,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.", ,0
