GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
,"nationwide, democrats account for fewer than 3% of voters in three counties this year, up from one county in 2020 but down from seven in 2016. there were none with such a low percentage of democratic registrations in the presidential election years of 2012, 2008 and 2004, according to the ap data.",0,,Named_Organization,No,,associated press,0,,,0.0,,,0.0,, ,0.0
,"in niobrara county, wyoming, the least-populated county in the least-populated state, becky blackburn is one of just 32 left.",0,,Named_Person,No,,becky blackburn,0,,paralegal,0.0,,"recently served nine years on the town council,a paralegal for the republican county attorney",0.0,,"paralegal recently served nine years on the town council,a paralegal for the republican county attorney",0.0
,"a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.",0,,Named_Person,No,,becky blackburn,0,,paralegal,0.0,,"recently served nine years on the town council,a paralegal for the republican county attorney",0.0,,"paralegal recently served nine years on the town council,a paralegal for the republican county attorney",0.0
,"she flies an lgbtq+ flag in support of her lesbian daughter at her house in lusk, a ranching town of 1,500 and the niobrara county seat.",0,,Named_Person,No,,becky blackburn,0,,paralegal,0.0,,"recently served nine years on the town council,a paralegal for the republican county attorney",0.0,,"paralegal recently served nine years on the town council,a paralegal for the republican county attorney",0.0
,"maybe because shes open about those views  and far too outnumbered to put them into action  blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.",0,,Named_Person,No,,becky blackburn,0,,paralegal,0.0,,"recently served nine years on the town council,a paralegal for the republican county attorney",0.0,,"paralegal recently served nine years on the town council,a paralegal for the republican county attorney",0.0
,"yet the area had a democratic state representative not too long ago: ross diercks, who is recognized and warmly greeted at the outpost cafe, a homey breakfast and lunch spot in lusk.",0,,Named_Person,No,,ross diercks,0,,"former middle school english teacher; former democratic state representative,former democratic state representative",0.0,,"is recognized and warmly greeted at the outpost cafe, a homey breakfast and lunch spot in lusk,a former middle school english teacher",0.0,,"former middle school english teacher; former democratic state representative,former democratic state representative is recognized and warmly greeted at the outpost cafe, a homey breakfast and lunch spot in lusk,a former middle school english teacher",0.0
,"a former middle school english teacher, diercks was a republican before deciding the gop didnt do enough to support public education. he beat a republican incumbent in 1992 to launch an 18-year run in the legislature.",0,,Named_Person,No,,ross diercks,0,,"former middle school english teacher; former democratic state representative,former democratic state representative",0.0,,"is recognized and warmly greeted at the outpost cafe, a homey breakfast and lunch spot in lusk,a former middle school english teacher",0.0,,"former middle school english teacher; former democratic state representative,former democratic state representative is recognized and warmly greeted at the outpost cafe, a homey breakfast and lunch spot in lusk,a former middle school english teacher",0.0
,"knowing voters personally and keeping up on issues helped him hold office. when he got a c-minus on a national rifle association questionnaire, for example, he resolved to improve. for subsequent elections, he scored as on the survey.",0,,Named_Person,No,,ross diercks,0,,"former middle school english teacher; former democratic state representative,former democratic state representative",0.0,,"is recognized and warmly greeted at the outpost cafe, a homey breakfast and lunch spot in lusk,a former middle school english teacher",0.0,,"former middle school english teacher; former democratic state representative,former democratic state representative is recognized and warmly greeted at the outpost cafe, a homey breakfast and lunch spot in lusk,a former middle school english teacher",0.0
,"many republican lawmakers are friends. when one from just down the road died, he sang at his funeral.",0,,Named_Person,No,,ross diercks,0,,"former middle school english teacher; former democratic state representative,former democratic state representative",0.0,,"is recognized and warmly greeted at the outpost cafe, a homey breakfast and lunch spot in lusk,a former middle school english teacher",0.0,,"former middle school english teacher; former democratic state representative,former democratic state representative is recognized and warmly greeted at the outpost cafe, a homey breakfast and lunch spot in lusk,a former middle school english teacher",0.0
,"then in 2022, diercks temporarily switched parties to vote in the gop primary against harriet hageman, who was challenging then-rep. liz cheney for the states lone house seat. hageman, the daughter of the lawmaker he sang for at his funeral, nonetheless won the race by a wide margin.",0,,Named_Person,No,,ross diercks,0,,"former middle school english teacher; former democratic state representative,former democratic state representative",0.0,,"is recognized and warmly greeted at the outpost cafe, a homey breakfast and lunch spot in lusk,a former middle school english teacher",0.0,,"former middle school english teacher; former democratic state representative,former democratic state representative is recognized and warmly greeted at the outpost cafe, a homey breakfast and lunch spot in lusk,a former middle school english teacher",0.0
,the new law keeping diercks and others from switching their registration so easily has him exasperated with the gop.,0,,Named_Person,No,,ross diercks,0,,"former middle school english teacher; former democratic state representative,former democratic state representative",0.0,,"is recognized and warmly greeted at the outpost cafe, a homey breakfast and lunch spot in lusk,a former middle school english teacher",0.0,,"former middle school english teacher; former democratic state representative,former democratic state representative is recognized and warmly greeted at the outpost cafe, a homey breakfast and lunch spot in lusk,a former middle school english teacher",0.0
,"last winter, dozens of locals gathered outside to honk and cheer as one democrat left town. but they werent cheering as ed fullmer was headed off for good.",0,,Named_Person,No,,ed fullmer,0,,coach,0.0,,coached the tigers,0.0,,coach coached the tigers,0.0
,"fullmer was on the high school boys basketball team bus as they left for the state championship. they lost, but fullmer coached the tigers to their best record in a decade, 20-8.",0,,Named_Person,No,,ed fullmer,0,,coach,0.0,,coached the tigers,0.0,,coach coached the tigers,0.0
,"blackburn, for one, intends to hold her political ground, even as it shrinks around her.",0,,Named_Person,No,,becky blackburn,0,,paralegal,0.0,,"recently served nine years on the town council,a paralegal for the republican county attorney",0.0,,"paralegal recently served nine years on the town council,a paralegal for the republican county attorney",0.0
