SourcedStatement,SourceType,Name,Title,Justification
"""It's obvious that running against Harris is more challenging for Trump given the shift in these numbers, but it's certainly not insurmountable,"" Matt Wolking, a Republican campaign strategist who worked on Trump's 2020 campaign, said in response to the Reuters/Ipsos poll results.",Named Person Sources,Matt Wolking,Republican campaign strategist,"Matt Wolking is a Republican campaign strategist with experience on Trump's 2020 campaign, providing expert analysis on the poll results."
"He said Trump needs to stay as focused as possible in his campaign ""so he's not scaring"" away voters who were leaning his way because they didn't like Biden.",Named Person Sources,Matt Wolking,Republican campaign strategist,"Matt Wolking offers strategic advice for Trump's campaign, reflecting his expertise and relevance to the story."
"""We see it in this poll that people are more motivated about the future than the past,"" said Aimee Allison, founder of She the People, a liberal group that aims to grow the numbers of women of color in elected office.",Named Person Sources,Aimee Allison,Founder of She the People,"Aimee Allison is the founder of She the People, a group focused on increasing representation of women of color in politics, providing a liberal perspective on the poll results."
"""They see Kamala Harris as the future, and Republicans see this election as just about Trump. Voters are more likely to be engaged when given the option of 'more than' beating Trump.""",Named Person Sources,Aimee Allison,Founder of She the People,"Aimee Allison provides analysis on voter engagement and perceptions of the candidates, reflecting her organization's focus and expertise."
Democrat Kamala Harris leads Republican Donald Trump 45% to 41% in a Reuters/Ipsos poll published on Thursday that showed the vice president sparking new enthusiasm among voters and shaking up the race ahead of the Nov. 5 election.,Document Sources,Reuters/Ipsos poll,,"The Reuters/Ipsos poll provides quantitative data on voter preferences and enthusiasm, serving as a primary source for the article's analysis."
The 4 percentage point advantage among registered voters was wider than a 1 point lead Harris held over the former president in a late July Reuters/Ipsos poll.,Document Sources,Reuters/Ipsos poll,,"The Reuters/Ipsos poll offers a comparative perspective on Harris's lead over Trump, highlighting changes over time."
A separate Bloomberg News/Morning Consult poll published later on Thursday showed that Harris was either leading or tied with Trump in each of those states.,Document Sources,Bloomberg News/Morning Consult poll,,"The Bloomberg News/Morning Consult poll provides additional data on Harris's performance in key battleground states, complementing the Reuters/Ipsos findings."
That poll showed Harris led Trump by 2 percentage points among registered voters across the seven states and was ahead by 1 point — a statistical tie — among likely voters.,Document Sources,Bloomberg News/Morning Consult poll,,"The Bloomberg News/Morning Consult poll offers specific insights into voter preferences in battleground states, adding depth to the analysis."
"The poll was conducted nationally and gathered responses from 4,253 U.S. adults, including 3,562 registered voters.",Document Sources,Reuters/Ipsos poll,,"The Reuters/Ipsos poll's methodology and sample size are detailed, providing transparency and credibility to the findings."
Some 73% of Democratic registered voters in the Reuters/Ipsos poll said they were more excited about voting in November after Harris entered the race.,Unnamed Group of People,Democratic registered voters,,Democratic registered voters are a key demographic group whose enthusiasm levels are significant in understanding the impact of Kamala Harris entering the race.
"And while a March Reuters/Ipsos poll found that 61% respondents who intended to vote for Biden were doing so mainly to stop Trump, 52% of Harris voters in the August poll were voting to support her as a candidate rather than primarily to oppose Trump.",Unnamed Group of People,Harris voters,,Harris voters represent a segment of the electorate whose motivations provide insight into the dynamics of the 2024 presidential race.
"But Trump voters also voiced enthusiasm about their candidate, with 64% saying their choice was more motivated by backing Trump than opposing Harris.",Unnamed Group of People,Trump voters,,Trump voters are a critical group whose enthusiasm and motivations are relevant to understanding the dynamics of the election.
