Story,No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
1-Harris-Poll,1,Democrat Kamala Harris leads Republican Donald Trump 45% to 41% in a Reuters/Ipsos poll published on Thursday that showed the vice president sparking new enthusiasm among voters and shaking up the race ahead of the Nov. 5 election,Document,,,
1-Harris-Poll,14,"Voters picked Trump as having a better approach to managing the U.S. economy, 45% to 36%, a wider margin than Trump had in another Reuters/Ipsos poll this week.",Document,,,
12-kids-lead-poisoning,2,"The map below shows which Memphis ZIPs contain the most homes built before 1980, according to Census data.
",Document,Census Data,,
14-many-police-calls,4,"A study by the Vermont nonprofit Crime Research Group shows Brattleboro police are dispatched most to the local Quality Inn, where the state is housing people otherwise without shelter (authorities received 181 calls there in the first half of this year), as well as to such downtown locations as the Whetstone path park (112 calls so far in 2024), the Groundworks Collaborative shelter (93) and Transportation Center parking garage (57).
",Document,,,study by the Vermont nonprofit Crime Research Group
16-America's-Sleeping-Giant,1,"It’s the product of a perverse feedback loop that was flagged by a Columbia University study undertaken of the 2106 electorate with the support of the Poor People’s Campaign, which studied the low-wage voter cohort and found a majority of them did not vote and when they were surveyed they explained they didn’t turn out because they didn’t hear candidates discuss issues that had any relevancy to their lives.",Document,Columbia University study,,
19-oakland-sues-SW-airlines,1,"On Wednesday, City Attorney Barbara Parker filed a lawsuit in Alameda County Superior Court that accuses the airline of violating Oakland and California sick leave laws. According to the complaint, Southwest has been denying some of its workers in Oakland the right to use earned paid sick leave. The city claims that Southwest has also retaliated against workers who tried to use their leave and discouraged them from filing complaints with the city.
",Document,Lawsuit,,
19-oakland-sues-SW-airlines,4,The lawsuit — filed just a couple days after Labor Day—claims that Southwest has also violated an existing settlement agreement that was supposed to resolve similar problems. ,Document,Lawsuit,,
19-oakland-sues-SW-airlines,5,"In 2017, the city received complaints that Southwest had a policy whereby it zeroed out unused accumulated sick leave pay on January 1 of every year, rather than carry it forward. In December 2020, the city and Southwest signed a settlement in which, among other things, the airline agreed to fully restore the sick leave hours it had canceled for certain workers between 2017 and 2020. ",Document,Lawsuit,,
19-oakland-sues-SW-airlines,7,"The city is demanding that Southwest comply with local labor laws and the 2020 settlement agreement; pay restitution, damages and penalties to the affected workers; pay for the cost of the city enforcing the law; and undo any disciplinary actions taken against workers under the allegedly unlawful sick leave policy.",Document,Lawsuit,,
19-oakland-sues-SW-airlines,12,"Oakland has several laws that protect workers, including Measure FF, a 2014 ordinance approved by Oakland voters that established a minimum wage and requires employers to provide paid sick leave to employees. The law also authorizes the city attorney to file lawsuits to enforce it",Document,Measure FF,,
20-bill-easier-access,1,"Under SB 1015, the State would ensure clinical placement opportunities for California’s future nurses, including nurses attending community colleges, state universities, and other public institutions. ",Document,SB 1015,,
22-Judge-rules-breona-taylor,2," — negating Walker’s constitutional rights as a legal gun owner, and his rights under the state’s Castle Doctrine, better known as the stand your ground law.
",Document,Castle Doctrine,,
22-Judge-rules-breona-taylor,7,"Since 2020, the number of people, especially Black people, killed by the police has continued to rise, according to the Mapping Police Violence database. So far this year, 212 Black lives have been lost during encounters with police, nearing the 264 killed in 2020.",Document,Mapping Police Violence database,,
22-Judge-rules-breona-taylor,9,"The database found that in each year, over 300,000 people experienced use of force by police that includes chemical sprays, K-9 dog attacks, neck restraints, stun guns as well as beanbags and baton strikes. ",Document,Mapping Police Violence database,,
23-black-landowners-11mins,14,"Two weeks after the hearing, Georgia state Rep. Spencer Fyre sent a letter to the commission describing the land acquisition as a “heist attempt,” where private businesses are looking to increase their profits by taking folks’ land despite their resistance to sell.",Document,letter,,Georgia state Rep. Spencer Fyre sent a letter to the commission 
