SourcedStatement,SourceType,Name,Title,Justification
"A prospective District 7 councilmember sued the Alameda County Registrar of Voters last week, saying in a petition that three of her supporters’ signatures required to qualify for the ballot were incorrectly discounted due to “minor technical errors.”",Named Organization Sources,Alameda County Registrar of Voters,,
"To qualify, a candidate needs to gather and submit at least 50 valid signatures; the registrar approved only 47 for Love.",Named Organization Sources,the registrar,,Alameda County Registrar of Voters
"Under the Voter’s Choice Act, registered voters on Election Day can cast their ballots at any vote center in Alameda County.",Named Organization Sources,Voter’s Choice Act,,
"Judge Markman said that it appeared that the county registrar, Tim Dupuis, didn’t do “anything wrong” in this instance.",Named Organization Sources,the county registrar,,Alameda County Registrar of Voters
"“In its implementation, it looks like the ROV attempted to do that here.”",Named Organization Sources,the ROV,,Alameda County Registrar of Voters
The Alameda County Registrar is scheduled to send the final ballot for printing on Friday.,Named Organization Sources,The Alameda County Registrar,,
"If the court rules in Love’s favor, the Registrar will be forced to change the ballot at the last minute.",Named Organization Sources,the Registrar,,Alameda County Registrar of Voters
"Tonya Love, former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife, failed to qualify for the council race earlier this month because she hadn’t gathered enough signatures.",Named Person Sources,Tonya Love,,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife
"To qualify, a candidate needs to gather and submit at least 50 valid signatures; the registrar approved only 47 for Love.",Named Person Sources,Love,,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife
"As a result, Love said that she would not be running for the District 7 seat.",Named Person Sources,Love,,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife
"“While we are disappointed by the court’s decision not to place us on the ballot in November, I remain undeterred in my commitment to serving Oakland and our communities,” she wrote.",Named Person Sources,she,,Love
“My dedication to our city does not begin nor end with a campaign.,Named Person Sources,she,,Love
There are many ways to effect change and ensure our voices are heard.,Named Person Sources,she,,Love
"I will continue to work alongside each of you, advocating for public health, safety, and equitable development in Oakland.”",Named Person Sources,she,,Love
"After hearing both sides this morning in county court, Alameda County Superior Court Judge Michael Markman said he would issue his ruling by 3 p.m. today.",Named Person Sources,Michael Markman,Judge,Alameda County Superior Court Judge
"Judge Markman said that it appeared that the county registrar, Tim Dupuis, didn’t do “anything wrong” in this instance.",Named Person Sources,Markman,Judge,Alameda County Superior Court Judge
"“My understanding is that there are other candidates for this particular district city council who would’ve liked the opportunity to have more time to gather and submit signatures, and the process needs to be uniform,” he said.",Named Person Sources,he,,Judge Michael Markman
"“In its implementation, it looks like the ROV attempted to do that here.”",Named Person Sources,he,,Judge Michael Markman
The judge also noted that he was wary of approving the request lest it turn the courts into “a clearing house for attempting to verify signatures.”,Named Person Sources,The judge,judge,Alameda County Superior Court Judge Michael Markman
"“There are only three in this one,” he said, “but I can imagine scenarios where it could be 23 in future cases.”",Named Person Sources,he,,Judge Michael Markman
"If the signatures are validated, Love will become a candidate in a five-person race for a seat that opened up only because of a last-minute decision by sitting Councilmember Treva Reid not to run for reelection, citing the increasing health care needs of her mother.",Named Person Sources,Love,,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife
"If the court rules in Love’s favor, the Registrar will be forced to change the ballot at the last minute.",Named Person Sources,Love,,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife
"In an Instagram post last week, Love told her followers her team had written a petition to validate her application to run for the district seat.",Named Person Sources,Love,,former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife
"“We are moving forward because our campaign is committed to fighting for equity and social justice for our community in District 7,” she wrote.",Named Person Sources,she,,Love
“We believe that every resident deserves to be represented and have access to the resources and opportunities to thrive.”,Named Person Sources,she,,Love
"One person who tried but failed to gather enough signatures to run for the district seat was David Newton, a nephew of Black Panther Party founder Huey Newton.",Named Person Sources,David Newton,,a nephew of Black Panther Party founder Huey Newton
"In an interview with The Oaklandside last week, Newton was resigned to his failure to gather enough signatures–he picked up 37–but said he would work with whoever came out ahead in the race to help improve the community.",Named Person Sources,Newton,,a nephew of Black Panther Party founder Huey Newton
"According to a post by Love on Instagram earlier this hour, the judge did not rule in Love’s favor.",Document Sources,Instagram,,a post by Love on Instagram
"Love’s lawyers, from the political law firm Kaufman Legal Group, said in their petition that Love had gathered 67 signatures in total and that three of the signatures were unfairly disqualified.",Unnamed Group of People,Love’s lawyers,,from the political law firm Kaufman Legal Group
"“These technical errors should not prevent the intent of the voters from being realized and the signatures counted towards verification,” the lawyers stated in their brief.",Unnamed Group of People,the lawyers,,"Love’s lawyers, from the political law firm Kaufman Legal Group"
