No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"“It just seems a little too opportunistic that it happens at this moment,” she said. “I think that this kind of thing destroys careers, so it’s probably over, but who knows if it’s true or not, we’ll find out.”",Named Person,Julie Valentine,,,"Speaking at Stoneridge Shopping Center in Pleasanton on Sunday, hours before Swalwell dropped out, Julie Valentine of Livermore questioned the timing of the allegations."
2,"At the same location, Melissa Estepa of Hayward said she felt let down by a candidate she had once viewed as a rising political figure.",Named Person,Melissa Estepa,,,"At the same location, Melissa Estepa of Hayward"
3,"“I was really excited about him and thought he would be the prime candidate,” she said. “It’s just another man in power abusing women. So it’s not surprising, but it’s still very disappointing.”",Named Person,Melissa Estepa,,,"At the same location, Melissa Estepa of Hayward"
4,"Swalwell has denied the allegations, calling them “flat false,” and said in a video posted Friday that the encounters “did not happen.”",Named Person,Eric Swalwell,Representative,,
5,"“I will fight them with everything that I have,” he said.",Named Person,Eric Swalwell,Representative,,
6,The Alameda County District Attorney’s Office said it is evaluating whether any alleged criminal conduct occurred within the county and described the accusations as “deeply concerning and disturbing.”,Named Organization,Alameda County District Attorney’s Office,,,
7,"The Manhattan District Attorney’s Office has also reportedly opened an investigation into the 2024 allegation, which the accuser said occurred in New York.",Unnamed Person,,,accuser,
8,"“The committee has begun an investigation and will gather additional information regarding whether Rep. Eric Swalwell violated the Code of Official Conduct or any law,” the panel said Monday.",Named Organization,House Committee on Ethics,,,
9,"Rep. Ro Khanna, D-Santa Clara, said he supports ethics and law enforcement investigations, telling Fox News: “This shouldn’t be about politics … anyone who abuses, uh, young girls and staffers should not be in the United States Congress.”",Named Person,Ro Khanna,Democrat Representative of Santa Clara,,
10,"Rep. Sam Liccardo, D-San José, said credible claims require a full investigation and that Swalwell should resign if the allegations are substantiated.",Named Person,Sam Liccardo,Democrat Representative of San José,,
11,"“Rep. Jared Huffman, D-California, said he would support expelling Swalwell from Congress if he does not resign, saying he has seen enough to back such a vote.”",Named Person,Jared Huffman,Representative of California,,
12,"“More than 50 former staffers of Swalwell issued a public letter calling the allegations ‘serious’ and ‘credible,’ urging him to resign from Congress and withdraw from the governor’s race.”",Document,,,public letter,More than 50 former staffers of Swalwell issued in a public letter
13,"‘We believe her,’ the letter said, adding that the allegations ‘cannot be dismissed or deflected’ and calling for a full law enforcement investigation.",Document,,,public letter,More than 50 former staffers of Swalwell issued in a public letter
