GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
multiple contemporaneous comments called him a “god”,,0,Anonymous_Groups,,No,,,100,,,0,,,0.0, ,,0.0
one commenter heralded the task as “the pinnacle of human brain potential.”,,0,Anonymous_Source,,No,,,100,,,0,,,0.0, ,,0.0
"a sample comment on one of his practice runs, months before he made history: “that performance... no other way to describe it but... fucking legendary.”","a sample comment on one of his practice runs, months before he made history: âthat performance... no other way to describe it but... fucking legendary.â",100,Anonymous_Source,Anonymous_Groups,No,,commenters,0,,,0,a sample comment on one of his practice runs,"contemporaneous comments; one commenter heralded the task,sample comment on one of his practice runs",0.9534894824028015, a sample comment on one of his practice runs," contemporaneous comments; one commenter heralded the task,sample comment on one of his practice runs",0.9534894824028015
"he began earning endorsement deals, and was profiled in several mainstream news publications, telling the new york times he wanted to buy a multi-thousand dollar ddr arcade cabinet.",and was profiled in several mainstream news publications,100,Named_Person,Named_Organization,No,chris chike,mainstream news publications,26,,,0,"the greatest dance dance revolution player in the world.,the greatest dance dance revolution player in the world; he told gazetteer sf over facetime from his home in hayward",profiled in several mainstream news publications,0.1194857656955719," the greatest dance dance revolution player in the world.,the greatest dance dance revolution player in the world; he told gazetteer sf over facetime from his home in hayward", profiled in several mainstream news publications,0.1194857656955719
"(“we’re learning to pay for things when we have the money,” his mom, who reportedly managed those deals, told the outlet.)","âweâre learning to pay for things when we have the money,â his mom, who reportedly managed those deals, told the outlet.",100,Anonymous_Source,Named_Person,No,,chikeâs mom,0,,,0,"chris chike‘s mom, who reportedly managed those deals",reportedly managed those deals,0.9232277870178223," chris chike‘s mom, who reportedly managed those deals", reportedly managed those deals,0.9232277870178223
"“i had no idea he could do shit like that,” someone uttered in the crowd, in awe, in a video of his display.","âi had no idea he could do shit like that,â someone uttered in the crowd, in awe, in a video of his display.",100,Anonymous_Source,Anonymous_Groups,No,,crowd,0,,,0,"someone uttered this in awe, in a video of his display",in a video of his display,1.0," someone uttered this in awe, in a video of his display", in a video of his display,1.0
"in all of his years of knowing chike, he could not recall a time when they'd talked about their jobs, despite both spending years working in the tech industry here.",,0,Named_Person,,No,roger clark,,0,,,0,"longtime ddr enthusiast. san francisco programmer,longtime ddr enthusiast. san francisco programmer; the two first met in person at the ohio tournament, then grew close once they both lived in the bay area.",,0.0," longtime ddr enthusiast. san francisco programmer,longtime ddr enthusiast. san francisco programmer; the two first met in person at the ohio tournament, then grew close once they both lived in the bay area.",,0.0
"it’s something that few other elite dance dance revolution players really bother with, clark said.",,0,Named_Person,,No,roger clark,,0,,,0,"longtime ddr enthusiast. san francisco programmer,longtime ddr enthusiast. san francisco programmer; the two first met in person at the ohio tournament, then grew close once they both lived in the bay area.",,0.0," longtime ddr enthusiast. san francisco programmer,longtime ddr enthusiast. san francisco programmer; the two first met in person at the ohio tournament, then grew close once they both lived in the bay area.",,0.0
"chike told gazetteer he’s saved enough to keep him afloat for a few years, helped along by the occasional brand deal.",,0,Named_Person,,No,chris chike,,0,,,0,"the greatest dance dance revolution player in the world.,the greatest dance dance revolution player in the world; he told gazetteer sf over facetime from his home in hayward",,0.0," the greatest dance dance revolution player in the world.,the greatest dance dance revolution player in the world; he told gazetteer sf over facetime from his home in hayward",,0.0
"the mixture of talent, endurance, and the good fortune of coming up at ddr’s peak is a one-in-a-million combination, as his friend clark proudly pointed out.",,0,Named_Person,,No,roger clark,,0,,,0,"longtime ddr enthusiast. san francisco programmer,longtime ddr enthusiast. san francisco programmer; the two first met in person at the ohio tournament, then grew close once they both lived in the bay area.",,0.0," longtime ddr enthusiast. san francisco programmer,longtime ddr enthusiast. san francisco programmer; the two first met in person at the ohio tournament, then grew close once they both lived in the bay area.",,0.0
