GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"her neighbors call her “the crazy democrat,” although it’s more a term of endearment than derision.","her neighbors call her âthe crazy democrat,â although itâs more a term of endearment than derision.",95,Anonymous_Groups,Anonymous_Groups,Yes,neighbors,neighbors,100,,,0,"in some far reaches of rural america, democrats are flirting with extinction. in niobrara county, wyoming, the least-populated county in the least-populated state, becky blackburn is one of just 32 left.","her neighbors call her âthe crazy democrat,â although itâs more a term of endearment than derision.",0.32970869541168213," in some far reaches of rural america, democrats are flirting with extinction. in niobrara county, wyoming, the least-populated county in the least-populated state, becky blackburn is one of just 32 left."," her neighbors call her âthe crazy democrat,â although itâs more a term of endearment than derision.",0.32970869541168213
"but niobrara county’s democrats, who account for just 2.6% of registered voters, are the most outnumbered by republicans in the 30 states that track local party affiliation, according to associated press election data.","niobrara countyâs democrats, who account for just 2.6% of registered voters, are the most outnumbered by republicans in the 30 states that track local party affiliation, according to associated press election data.",100,Named_Organization,Documents,No,associated press,associated press,100,,,0,,"according to associated press election data.,according to the ap data.",0.0, ," according to associated press election data.,according to the ap data.",0.0
"“normally i just roll my eyes and walk away because i’m fighting a losing battle and i’m fully aware of that,” she said. “maybe that is why i’m well-liked, because i keep my mouth shut 10 times more than i want to.”","âmaybe that is why iâm well-liked, because i keep my mouth shut 10 times more than i want to.â",97,Named_Person,Named_Person,Yes,becky blackburn,becky blackburn,100,,,0,"maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.,blackburn, for one, intends to hold her political ground, even as it shrinks around her.","in niobrara county, wyoming, the least-populated county in the least-populated state, becky blackburn is one of just 32 left.;a paralegal for the republican county attorney",0.9845384955406189," maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.,blackburn, for one, intends to hold her political ground, even as it shrinks around her."," in niobrara county, wyoming, the least-populated county in the least-populated state, becky blackburn is one of just 32 left.;a paralegal for the republican county attorney",0.9845384955406189
"she speaks approvingly of policing reform, taxation for government services and the transgender social media celebrity dylan mulvaney.",,0,Named_Person,,No,becky blackburn,,0,,,0,"maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.,blackburn, for one, intends to hold her political ground, even as it shrinks around her.",,0.0," maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.,blackburn, for one, intends to hold her political ground, even as it shrinks around her.",,0.0
"“i won two elections here. even though that’s nonpartisan, people still knew i had left-leaning values,”","even though thatâs nonpartisan, people still knew i had left-leaning values,â she said.",100,Named_Person,Named_Person,Yes,becky blackburn,becky blackburn,100,,,0,"maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.,blackburn, for one, intends to hold her political ground, even as it shrinks around her.","in niobrara county, wyoming, the least-populated county in the least-populated state, becky blackburn is one of just 32 left.;a paralegal for the republican county attorney",0.9845384955406189," maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.,blackburn, for one, intends to hold her political ground, even as it shrinks around her."," in niobrara county, wyoming, the least-populated county in the least-populated state, becky blackburn is one of just 32 left.;a paralegal for the republican county attorney",0.9845384955406189
"you feel skeevy and dirty when you do it. but you do it anyway and you change it back as soon as you can, because you don’t want to start getting the republican mailings,”","but you do it anyway and you change it back as soon as you can, because you donât want to start getting the republican mailings,â blackburn said.",100,Named_Person,Named_Person,Yes,becky blackburn,becky blackburn,100,,,0,"maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.,blackburn, for one, intends to hold her political ground, even as it shrinks around her.","in niobrara county, wyoming, the least-populated county in the least-populated state, becky blackburn is one of just 32 left.;a paralegal for the republican county attorney",0.9845384955406189," maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.,blackburn, for one, intends to hold her political ground, even as it shrinks around her."," in niobrara county, wyoming, the least-populated county in the least-populated state, becky blackburn is one of just 32 left.;a paralegal for the republican county attorney",0.9845384955406189
"party-switching had “undermined the sanctity of wyoming’s primary process,” wyoming’s republican secretary of state, chuck gray, said in a statement of approval.","party-switching had âundermined the sanctity of wyomingâs primary process,â wyomingâs republican secretary of state, chuck gray, said in a statement of approval.",100,Named_Person,Named_Organization,No,chuck gray,wyomingâs republican secretary of state,16,wyoming secretary of state,,0,"wyoming’s republican secretary of state, chuck gray, said in a statement of approval.",,0.0,"wyoming secretary of state wyoming’s republican secretary of state, chuck gray, said in a statement of approval.", ,0.0
"“how far are they going to go to limit one’s ability to vote? if it really comes down to purifying the party, on a voting level all the way up to the elected officials, pretty soon there isn’t going to be anyone left who’s pure enough to be in the party,” diercks said.","if it really comes down to purifying the party, on a voting level all the way up to the elected officials, pretty soon there isnât going to be anyone left whoâs pure enough to be in the party,â diercks said.",100,Named_Person,Named_Person,Yes,ross diercks,ross diercks,100,former democratic state representative,,0,the new law keeping diercks and others from switching their registration so easily has him exasperated with the gop.,,0.0,former democratic state representative the new law keeping diercks and others from switching their registration so easily has him exasperated with the gop., ,0.0
"truck driver pat jordan supports many left-leaning goals, including universal healthcare, but said he only registers as a republican.",,0,Named_Person,,No,pat jordan,,0,,,0,truck driver pat jordan supports many left-leaning goals,,0.0, truck driver pat jordan supports many left-leaning goals,,0.0
"“the best way to participate in meaningful change is to try to sway the dominant party,” said jordan, who lives in niobrara county. “you know, we need to have a government that serves the people, all of them, not just republicans and not just rural and not just urban and not just democrats — and definitely not just the rich and the wealthy.”","âthe best way to participate in meaningful change is to try to sway the dominant party,â said jordan, who lives in niobrara county.",100,Named_Person,Named_Person,Yes,pat jordan,pat jordan,100,,,0,truck driver pat jordan supports many left-leaning goals,,0.0, truck driver pat jordan supports many left-leaning goals, ,0.0
