SourcedStatement,SourceType,Name,Title,Justification
United Airlines advised passengers to leave even more time.,Named Organization Sources,United Airlines,,United Airlines
A United Airlines spokesperson said the three-hour warning was issued by mistake: somehow the company posted a years-old notice to the Chicago-bound boarding pass.,Named Organization Sources,United Airlines,,United Airlines
"The spokesperson shared a corrected advisory that suggested passengers “arrive early to avoid delays,” and to get a head start by checking bags from home and leaving luggage in the bag drop shortcut area at the airport.",Named Organization Sources,United Airlines,,United Airlines
"There are no major projects on the freeways near SFO, so with a bit of luck, drivers headed to the airport shouldn’t face major delays, Caltrans officials said.",Named Organization Sources,Caltrans,,Caltrans officials
"More than 930,000 travelers will funnel through SFO from Thursday through Tuesday, according to SFO spokesperson Doug Yakel.",Named Person Sources,Doug Yakel,SFO spokesperson,SFO spokesperson
"This year’s prediction is 97% of what the airport handled five years ago, Yakel said by email.",Named Person Sources,Doug Yakel,SFO spokesperson,SFO spokesperson
"To make it on time, holiday travelers should arrive at the airport two hours before domestic flights and three hours before international ones, Yakel said.",Named Person Sources,Doug Yakel,SFO spokesperson,SFO spokesperson
"Yakel said SFO has not been advised of staffing woes for Thursday, which was expected to be the busiest day of travel at the airport.",Named Person Sources,Doug Yakel,SFO spokesperson,SFO spokesperson
"Parking at airport garages will be in short supply this weekend, so travelers who want to leave cars at SFO should reserve spaces online as soon as possible, Yakel said.",Named Person Sources,Doug Yakel,SFO spokesperson,SFO spokesperson
"“I have TSA Pre, so that should make it a little easier,” said Bay Area resident Katelin Tharp, who on Thursday was booted from an overbooked flight to Boston, where she’s beginning her fifth year at Northeastern University.",Named Person Sources,Katelin Tharp,Bay Area resident,"who on Thursday was booted from an overbooked flight to Boston, where she’s beginning her fifth year at Northeastern University"
"“We’re sad since we just said goodbye to our one friend, and we don’t know if we’re ever going to see her again,” Ellie Mitchell, of the United Kingdom, told The Standard.",Named Person Sources,Ellie Mitchell,of the United Kingdom,of the United Kingdom
A quartet of friends was at the airport with time to spare so they could say goodbye to one of the crew who was homeward bound to Australia.,Unnamed Group of People,quartet of friends,,"They had zigzagged across the country by plane — highlights included stops in Florida, Nashville, and Lake Tahoe — after working together at a New York summer camp."
"“We’re sad since we just said goodbye to our one friend, and we don’t know if we’re ever going to see her again,” Ellie Mitchell, of the United Kingdom, told The Standard.",Unnamed Group of People,quartet of friends,,"They had zigzagged across the country by plane — highlights included stops in Florida, Nashville, and Lake Tahoe — after working together at a New York summer camp."
