SourcedStatement,SourceType,Name,Title,Justification
United Airlines advised passengers to leave even more time.,Named Organization Sources,United Airlines,,United Airlines provided travel advice to passengers.
A United Airlines spokesperson said the three-hour warning was issued by mistake: somehow the company posted a years-old notice to the Chicago-bound boarding pass.,Named Organization Sources,United Airlines,,A United Airlines spokesperson clarified the error in the travel advisory.
"The spokesperson shared a corrected advisory that suggested passengers “arrive early to avoid delays,” and to get a head start by checking bags from home and leaving luggage in the bag drop shortcut area at the airport.",Named Organization Sources,United Airlines,,A United Airlines spokesperson provided updated travel advice to passengers.
"Parking at airport garages will be in short supply this weekend, so travelers who want to leave cars at SFO should reserve spaces online as soon as possible, Yakel said.",Named Organization Sources,SFO,,SFO provided advice on parking availability for travelers.
One lot for international flights had already sold out for the weekend by Thursday; the other was almost fully reserved.,Named Organization Sources,SFO,,SFO provided updates on parking availability for travelers.
More spaces appear to be up for grabs in the domestic and long-term garages.,Named Organization Sources,SFO,,SFO provided updates on parking availability for travelers.
"There are no major projects on the freeways near SFO, so with a bit of luck, drivers headed to the airport shouldn’t face major delays, Caltrans officials said.",Named Organization Sources,Caltrans,,Caltrans officials provided information on freeway conditions near SFO.
"More than 930,000 travelers will funnel through SFO from Thursday through Tuesday, according to SFO spokesperson Doug Yakel.",Named Person Sources,Doug Yakel,SFO spokesperson,Doug Yakel provided the data on the expected number of travelers and is identified as the spokesperson for SFO.
"This year’s prediction is 97% of what the airport handled five years ago, Yakel said by email.",Named Person Sources,Doug Yakel,SFO spokesperson,Doug Yakel provided the data on the expected number of travelers and is identified as the spokesperson for SFO.
"To make it on time, holiday travelers should arrive at the airport two hours before domestic flights and three hours before international ones, Yakel said.",Named Person Sources,Doug Yakel,SFO spokesperson,Doug Yakel provided advice for travelers and is identified as the spokesperson for SFO.
"Yakel said SFO has not been advised of staffing woes for Thursday, which was expected to be the busiest day of travel at the airport.",Named Person Sources,Doug Yakel,SFO spokesperson,Doug Yakel addressed concerns about staffing and is identified as the spokesperson for SFO.
"“I have TSA Pre, so that should make it a little easier,” said Bay Area resident Katelin Tharp, who on Thursday was booted from an overbooked flight to Boston, where she’s beginning her fifth year at Northeastern University.",Named Person Sources,Katelin Tharp,,Katelin Tharp shared her personal experience as a traveler affected by an overbooked flight.
"“So, I’ll be hanging out for a little bit.”",Named Person Sources,Katelin Tharp,,Katelin Tharp shared her personal experience as a traveler affected by an overbooked flight.
"“We’re sad since we just said goodbye to our one friend, and we don’t know if we’re ever going to see her again,” Ellie Mitchell, of the United Kingdom, told The Standard.",Named Person Sources,Ellie Mitchell,,Ellie Mitchell shared her emotional experience as part of a group of friends traveling together.
A quartet of friends was at the airport with time to spare so they could say goodbye to one of the crew who was homeward bound to Australia.,Unnamed Group of People,quartet of friends,,"They had zigzagged across the country by plane — highlights included stops in Florida, Nashville, and Lake Tahoe — after working together at a New York summer camp."
