SourcedStatement,SourceType,Name,Title,Justification
"MLK50: Justice Through Journalism could not reach the bill’s primary sponsor in the House, Rep. Clark Boyd (R-Lebanon), through his official email address or the House Republican Caucus’ press secretary.",Named Organization Sources,House Republican Caucus,,press secretary contact attempt
TAR representatives did not return a pair of phone calls from MLK50.,Named Organization Sources,Tennessee Association of Realtors,,opposition to rental registry legislation
"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Named Organization Sources,City of Memphis,,endorsement of rental registry legislation
"“It just shortens the whole timeline in which a person can lose their home,” said Brian Rees, a staff attorney at The Works Inc. nonprofit who has represented hundreds of tenants in eviction proceedings in recent years. “Things (can now) happen very, very quickly.”",Named Person Sources,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"To Henderson, who judges thousands of eviction cases per year, the only explanation for such action was landlord lobbying.",Named Person Sources,Deborah Henderson,judge,who judges thousands of eviction cases per year
"“Landlords have always had a very strong lobbying group,” she said.",Named Person Sources,Deborah Henderson,judge,who judges thousands of eviction cases per year
"In the statement, Swann said the bill will help landlords free up apartments more quickly for the thousands of Tennesseeans seeking a home. He also said it would help the apartment industry develop new apartments, but he didn’t make clear how it would.",Named Person Sources,Art Swann,Sen. (R-Maryville),sponsored the legislation in the Senate
"“(TAR) has the connection with a lot of legislators, especially on the commerce committee, where this was going to be,” Thompson said. “(And) they were just ironclad.”",Named Person Sources,Dwayne Thompson,Rep. (D-Cordova),attempted to create a registry of all the city’s rental housing
"“How are you going to find the (bad actors)? It looks to me like the good people will do it but the bad people aren’t going to change,” Marsh said during the subcommittee hearing.",Named Person Sources,Pat Marsh,Rep. (R-Shelbyville),opposed the bill during the subcommittee hearing
"“I really am happy to see that pass,” Rees said. “I think it’s important that tenants do have good quality contact information for their property manager or owner.”",Named Person Sources,Brian Rees,staff attorney at The Works Inc. nonprofit,who has represented hundreds of tenants in eviction proceedings in recent years
"The Tennessee Association of Realtors is the sixth largest spender on Tennessee politics, according to the Tennessee Lookout’s database, having spent $6.5 million on lobbying, campaign donations and other political expenditures since 2009.",Document Sources,Tennessee Lookout,,according to the Tennessee Lookout’s database
"The Tennessee Association of Realtors has been Swann’s top funder since the start of 2009, according to the Tennessee Lookout, giving him $18,750.",Document Sources,Tennessee Lookout,,according to the Tennessee Lookout
"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Unnamed Group of People,landlord representatives,,two landlord representatives spoke against it
