GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"they said that the subsidiary would be controlled by the nonprofit board and that each director’s fiduciary duty would be to “humanity, not openai investors,” the company said on its website.",,0,Named_Organization,,No,openai,,0,,,0,the company said on its website.,,0.0, the company said on its website.,,0.0
"mr. altman complained that the research paper seemed to criticize openai’s efforts to keep its a.i. technologies safe while praising the approach taken by anthropic, a company that has become openai’s biggest rival, according to an email that mr. altman wrote to colleagues and that was viewed by the new york times.","mr. altman complained that the research paper seemed to criticize openaiâs efforts to keep its a.i. technologies safe while praising the approach taken by anthropic, a company that has become openaiâs biggest rival, according to an email that mr. altman wrote to colleagues and that was viewed by the new york times.",100,Documents,Named_Person,No,,sam altman,0,,chief executive of openai,0,according to an email that mr. altman wrote to colleagues and that was viewed by the new york times,according to an email that mr. altman wrote to colleagues and that was viewed by the new york times,1.0000001192092896, according to an email that mr. altman wrote to colleagues and that was viewed by the new york times,chief executive of openai according to an email that mr. altman wrote to colleagues and that was viewed by the new york times,0.7591066956520081
"in the email, mr. altman said that he had reprimanded ms. toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the federal trade commission was investigating openai over the data used to build its technology.","in the email, mr. altman said that he had reprimanded ms. toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the federal trade commission was investigating openai over the data used to build its technology.",100,Documents,Documents,Yes,,email,0,,,0,according to an email that mr. altman wrote to colleagues and that was viewed by the new york times,an email that mr. altman wrote to colleagues and that was viewed by the new york times,0.9630908966064453, according to an email that mr. altman wrote to colleagues and that was viewed by the new york times, an email that mr. altman wrote to colleagues and that was viewed by the new york times,0.9630908966064453
"“i did not feel we’re on the same page on the damage of all this,” he wrote in the email. “any amount of criticism from a board member carries a lot of weight.”",,0,Documents,,No,,,100,,,0,according to an email that mr. altman wrote to colleagues and that was viewed by the new york times,,0.0, according to an email that mr. altman wrote to colleagues and that was viewed by the new york times,,0.0
"senior openai leaders, including mr. sutskever, who is deeply concerned that a.i. could one day destroy humanity, later discussed whether ms. toner should be removed, a person involved in the conversations said.","senior openai leaders, including mr. sutskever, who is deeply concerned that a.i. could one day destroy humanity, later discussed whether ms. toner should be removed, a person involved in the conversations said.",100,Anonymous_Source,Anonymous_Groups,No,,senior openai leaders,0,,,0,a person involved in the conversations,"senior openai leaders, including mr. sutskever, who is deeply concerned that a.i. could one day destroy humanity",0.22124525904655457, a person involved in the conversations," senior openai leaders, including mr. sutskever, who is deeply concerned that a.i. could one day destroy humanity",0.22124525904655457
"but shortly after those discussions, mr. sutskever did the unexpected: he sided with board members to oust mr. altman, according to two people familiar with the board’s deliberations.","after vetting four candidates for one position, the remaining directors couldnât agree on who should fill it, said the two people familiar with the boardâs deliberations.",87,Anonymous_Source,Anonymous_Groups,No,,,100,,,0,according to two people familiar with the board’s deliberations.,the two people familiar with the boardâs deliberations,0.9021962285041809, according to two people familiar with the board’s deliberations., the two people familiar with the boardâs deliberations,0.9021962285041809
the statement he read to mr. altman said that mr. altman was being fired because he wasn’t “consistently candid in his communications with the board.”,,0,Documents,,No,,,100,,,0,,,0.0, ,,0.0
"that scientist and other researchers went to the board to try to push mr. altman out. after they failed, they gave up and departed, according to three people familiar with the attempt to push mr. altman out.",,0,Anonymous_Source,,No,,,100,,,0,according to three people familiar with the attempt to push mr. altman out.,,0.0, according to three people familiar with the attempt to push mr. altman out.,,0.0
"“after a series of reasonably amicable negotiations, the co-founders of anthropic were able to negotiate their exit on mutually agreeable terms,” an anthropic spokeswoman, sally aldous, said.","âafter a series of reasonably amicable negotiations, the co-founders of anthropic were able to negotiate their exit on mutually agreeable terms,â an anthropic spokeswoman, sally aldous, said.",100,Named_Person,Named_Organization,No,sally aldous,anthropic,19,anthropic spokeswoman,,0,,a company that has become openaiâs biggest rival,0.0,anthropic spokeswoman , a company that has become openaiâs biggest rival,0.0009599998593330383
"in a second statement, anthropic added that there was “no attempt to ‘oust’ sam altman at the time the founders of anthropic left openai.”","in a second statement, anthropic added that there was âno attempt to âoustâ sam altman at the time the founders of anthropic left openai.â",100,Named_Organization,Named_Organization,Yes,anthropic,anthropic,100,,,0,"a second statement,",a company that has become openaiâs biggest rival,0.15507332980632782," a second statement,", a company that has become openaiâs biggest rival,0.15507332980632782
"after vetting four candidates for one position, the remaining directors couldn’t agree on who should fill it, said the two people familiar with the board’s deliberations.","after vetting four candidates for one position, the remaining directors couldnât agree on who should fill it, said the two people familiar with the boardâs deliberations.",100,Anonymous_Source,Anonymous_Groups,No,,,100,,,0,said the two people familiar with the board’s deliberations.,the two people familiar with the boardâs deliberations,0.8969334363937378, said the two people familiar with the board’s deliberations., the two people familiar with the boardâs deliberations,0.8969334363937378
"hours after mr. altman was ousted, openai executives confronted the remaining board members during a video call, according to three people who were on the call.",,0,Anonymous_Source,,No,,,100,,,0,according to three people who were on the call.,,0.0, according to three people who were on the call.,,0.0
"during the call, jason kwon, openai’s chief strategy officer, said the board was endangering the future of the company by pushing out mr. altman. this, he said, violated the members’ responsibilities.",,0,Anonymous_Source,,No,,,100,,,0,according to three people who were on the call.,,0.0, according to three people who were on the call.,,0.0
"ms. toner disagreed. the board’s mission was to ensure that the company creates artificial intelligence that “benefits all of humanity,” and if the company was destroyed, she said, that could be consistent with its mission. in the board’s view, openai would be stronger without mr. altman.",,0,Anonymous_Source,,No,,,100,,,0,according to three people who were on the call.,,0.0, according to three people who were on the call.,,0.0
"on sunday, mr. sutskever was urged at openai’s office to reverse course by mr. brockman’s wife, anna, according to two people familiar with the exchange.",,0,Anonymous_Source,,No,,,100,,,0,according to two people familiar with the exchange.,,0.0, according to two people familiar with the exchange.,,0.0
the confrontation between mr. sutskever and ms. brockman was reported earlier by the wall street journal.,the confrontation between mr. sutskever and ms. brockman was reported earlier by the wall street journal.,100,Named_Organization,Named_Person,No,the wall street journal,anna brockman,17,,,0,,mr. brockmanâs wife,0.0, , mr. brockmanâs wife,0.0
