SourcedStatement,SourceType,Name,Title,Justification
"The U.S. Army was making 14,000 artillery shells a month prior to the conflict.",Named Organization Sources,U.S. Army,,"Officials at the plant told Morning Edition that the army is producing 36,000 shells a month, up from 24,000 just six months ago."
"Now, officials at the plant told Morning Edition that the army is producing 36,000 shells a month, up from 24,000 just six months ago.",Named Organization Sources,U.S. Army,,"Officials at the plant told Morning Edition that the army is producing 36,000 shells a month, up from 24,000 just six months ago."
"The Tobyhanna Army Depot, which specializes in logistics support and radar equipment for foreign allies such as Ukraine, estimates that the company has a $2.4 billion dollar impact on the area and that it is the largest industrial employer in the region.",Named Organization Sources,Tobyhanna Army Depot,,"The Tobyhanna Army Depot, which specializes in logistics support and radar equipment for foreign allies such as Ukraine."
"Officials at Tobyhanna estimate that its average annual salary is $30,000 higher than the average salary in northeastern Pennsylvania, which is around $58,000 in 2021.",Named Organization Sources,Tobyhanna Army Depot,,"The Tobyhanna Army Depot, which specializes in logistics support and radar equipment for foreign allies such as Ukraine."
"We’re all about quality jobs, and that’s a quality organization.",Named Person Sources,Bob Durkin,President and Chief Executive Officer of the Scranton Chamber of Commerce,"Bob Durkin, the president and chief executive officer of the Scranton Chamber of Commerce said."
So the infusion of additional funding to support is important to us.,Named Person Sources,Bob Durkin,President and Chief Executive Officer of the Scranton Chamber of Commerce,"Bob Durkin, the president and chief executive officer of the Scranton Chamber of Commerce said."
"It’s not $277 million that stays here. But, you know, it’s a good chunk of it.",Named Person Sources,Matt Cartwright,Congressman representing Scranton and other parts of Northeastern Pennsylvania,"Congressman Matt Cartwright, who sits on the House Appropriations Committee and represents Scranton and other parts of Northeastern Pennsylvania pointed to a $277 million Raytheon contract to illustrate this point."
And it’s important that we keep that work coming.,Named Person Sources,Matt Cartwright,Congressman representing Scranton and other parts of Northeastern Pennsylvania,"Congressman Matt Cartwright, who sits on the House Appropriations Committee and represents Scranton and other parts of Northeastern Pennsylvania pointed to a $277 million Raytheon contract to illustrate this point."
I don’t really think that people dwell or concentrate on anything that’s going on outside of their sphere of influence.,Named Person Sources,Rich Hansen,Commander’s Representative at the Scranton Army Ammunition Plant,"Rich Hansen, the Commander’s Representative at the Scranton Army Ammunition Plant, said."
We’re kind of busy concentrating on what’s going on in Scranton.,Named Person Sources,Rich Hansen,Commander’s Representative at the Scranton Army Ammunition Plant,"Rich Hansen, the Commander’s Representative at the Scranton Army Ammunition Plant, said."
We had a job fair in the middle of a heat wave and there was still a line going out of the door.,Named Person Sources,Danielle Weinschenk,Lead Public Affairs Specialist at the Tobyhanna Army Depot,"Danielle Weinschenk, the lead Public Affairs Specialist at the Tobyhanna Army Depot said."
"We had another one when it was pouring rain, and the same thing happened.",Named Person Sources,Danielle Weinschenk,Lead Public Affairs Specialist at the Tobyhanna Army Depot,"Danielle Weinschenk, the lead Public Affairs Specialist at the Tobyhanna Army Depot said."
"With the Ukraine support, you know, one day I was sitting there thinking about what needs to be done, and it kind of hit me that what we were doing directly affects whether people live or die.",Named Person Sources,Jim Jarick,Senior Technology Center Engineer at the Tobyhanna Army Depot,"Jim Jarick, a senior technology center engineer at the Tobyhanna Army Depot."
"If we aren’t doing our job correctly, people could die tomorrow. And that just put this whole thing in perspective for me.",Named Person Sources,Jim Jarick,Senior Technology Center Engineer at the Tobyhanna Army Depot,"Jim Jarick, a senior technology center engineer at the Tobyhanna Army Depot."
"At the height of last year’s counteroffensive, the Ukrainians were firing about 6,000 a day.",Named Person Sources,Mark Cancian,Senior Advisor at the Center for Strategic and International Studies,"Mark Cancian, a senior advisor at the Center for Strategic and International Studies, told Morning Edition."
"The Russians are [firing] probably about 10,000 a day.",Named Person Sources,Mark Cancian,Senior Advisor at the Center for Strategic and International Studies,"Mark Cancian, a senior advisor at the Center for Strategic and International Studies, told Morning Edition."
Our first task is to save our people.,Named Person Sources,Col. Olksandr Popov,Commander of a Ukrainian artillery unit,"Col. Olksandr Popov, the commander of a Ukrainian artillery unit."
"Without artillery, we cannot do this.",Named Person Sources,Col. Olksandr Popov,Commander of a Ukrainian artillery unit,"Col. Olksandr Popov, the commander of a Ukrainian artillery unit."
We had a job fair in the middle of a heat wave and there was still a line going out of the door.,Unnamed Group of People,job fair attendees,,"Officials at Tobyhanna estimate that its average annual salary is $30,000 higher than the average salary in northeastern Pennsylvania, which is around $58,000 in 2021."
"We had another one when it was pouring rain, and the same thing happened.",Unnamed Group of People,job fair attendees,,"Officials at Tobyhanna estimate that its average annual salary is $30,000 higher than the average salary in northeastern Pennsylvania, which is around $58,000 in 2021."
