SourcedStatement,SourceType,Name,Title,Justification
"Update at 4:32 p.m.: According to a post by Love on Instagram earlier this hour, the judge did not rule in Love’s favor.",Named Organization Sources,Instagram,,a post by Love on
"A prospective District 7 councilmember sued the Alameda County Registrar of Voters last week, saying in a petition that three of her supporters’ signatures required to qualify for the ballot were incorrectly discounted due to “minor technical errors.”",Named Person Sources,Tonya Love,prospective District 7 councilmember,
"Tonya Love, former district director for California Assemblymember Rob Bonta and current chief of staff for Councilmember Carroll Fife, failed to qualify for the council race earlier this month because she hadn’t gathered enough signatures.",Named Person Sources,Tonya Love,former district director for California Assemblymember Rob Bonta;current chief of staff for Councilmember Carroll Fife,
"“These technical errors should not prevent the intent of the voters from being realized and the signatures counted towards verification,” the lawyers stated in their brief.",Named Person Sources,Tonya Love,,"Love’s lawyers, from the political law firm Kaufman Legal Group, said in their petition that Love had gathered 67 signatures in total and that three of the signatures were unfairly disqualified."
“The Elections Code and Oakland Ordinances only require that registered voters residing within the District sign the petition.,Named Person Sources,Tonya Love,,Love's lawyers
"The three individuals who signed the nomination petition but did not have their signatures counted met these basic requirements and, in addition, substantially complied with the applicable law.”",Named Person Sources,Tonya Love,,The lawyers stated in their brief
The lawyers asked the court to direct the registrar to validate those signatures and place Love on the Nov. 5 ballot.,Named Person Sources,Tonya Love,,
"Judge Markman said that it appeared that the county registrar, Tim Dupuis, didn’t do “anything wrong” in this instance.",Named Person Sources,Michael Markman,Alameda County Superior Court Judge,
"“My understanding is that there are other candidates for this particular district city council who would’ve liked the opportunity to have more time to gather and submit signatures, and the process needs to be uniform,” he said.",Named Person Sources,Michael Markman,Judge,
"“In its implementation, it looks like the ROV attempted to do that here.”",Named Person Sources,Michael Markman,Judge,
The judge also noted that he was wary of approving the request lest it turn the courts into “a clearing house for attempting to verify signatures.”,Named Person Sources,Michael Markman,Judge,
"“There are only three in this one,” he said, “but I can imagine scenarios where it could be 23 in future cases.”",Named Person Sources,Michael Markman,Judge,
"The lawyer representing Love said that the judge could limit his ruling to the type of unusual last-minute circumstance this represents, in which a candidate had only a couple of days to gather signatures.",Named Person Sources,Tonya Love,,The lawyer representing Love
The timing of Reid’s decision led to a scramble across deep East Oakland for potential candidates to run for office.,Named Person Sources,Treva Reid,sitting Councilmember,citing the increasing health care needs of her mother
It also triggered a clause in state election law that gives prospective candidates an extra five days to submit signatures when an incumbent city councilmember chooses not to run for reelection.,Named Person Sources,Treva Reid,,
"After Reid dropped out, Love, who had already qualified for the at-large councilmember race against 10 other candidates, decided to switch her candidacy to District 7, where she lives and where her political connections might give her a better path to victory.",Named Person Sources,Tonya Love,,
But her attorneys said petitions for nominations could be obtained from the city clerk’s office only by appointment and that the earliest possible time she was able to obtain them was at 2 p.m. on the following Monday.,Named Person Sources,Tonya Love,,
That gave Love only about 48 hours to gather and validate the needed 50 signatures by the end of the day on Wednesday.,Named Person Sources,Tonya Love,,
"Her lawyers also argued that the district has a low number of registered voters, making it harder for her to secure as many signatures.",Named Person Sources,Tonya Love,,
"One person who tried but failed to gather enough signatures to run for the district seat was David Newton, a nephew of Black Panther Party founder Huey Newton.",Named Person Sources,David Newton,nephew of Black Panther Party founder Huey Newton,One person who tried but failed to gather enough signatures to run for the district seat
"In an interview with The Oaklandside last week, Newton was resigned to his failure to gather enough signatures–he picked up 37–but said he would work with whoever came out ahead in the race to help improve the community.",Named Person Sources,David Newton,,
"While on Fife’s staff, Love worked on the city’s COVID-19 budgeting and most recently helped shepherd Fife’s work with local community advocates on developing a legal tactical urbanism community pilot.",Named Person Sources,Tonya Love,,
"Tactical urbanism is an increasingly popular way for locals to physically work with city staff to put up road infrastructure, like traffic islands, that slows down roads and leads to fewer collisions.",Named Person Sources,Tonya Love,,
"In an Instagram post last week, Love told her followers her team had written a petition to validate her application to run for the district seat.",Named Person Sources,Tonya Love,,
She thanked the Oakland City Clerk and the city attorney for helping her through the process.,Named Person Sources,Tonya Love,,
"“We are moving forward because our campaign is committed to fighting for equity and social justice for our community in District 7,” she wrote.",Named Person Sources,Tonya Love,,
“We believe that every resident deserves to be represented and have access to the resources and opportunities to thrive.”,Named Person Sources,Tonya Love,,
