No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"Delhi is sweltering through another summer of extreme heat, with top daytime readings consistently reaching 43C and even minimum temperatures hovering around 32.4C (90.3F).",Named Organization,India Meteorological Department,,,
2,Last week the city endured its warmest May night in 14 years.,Named Organization,India Meteorological Department,,,
3,"Homeless people are among the most vulnerable to climate extremes, says Chandni Singh, a lead author with the Intergovernmental Panel on Climate Change (IPCC). “Beyond exposure alone, homelessness is often accompanied by unreliable access to food, water and healthcare – all of which are essential to cope with and adapt to extreme heat,” she says.",Named Person,Chandni Singh,lead author with the Intergovernmental Panel on Climate Change (IPCC),,
4,"The consequences are deadly. During Delhi’s heatwave last summer, at least 192 homeless people died over a nine-day period, according to a report by the Centre for Holistic Development.",Named Organization,Centre for Holistic Development,,,
5,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets, she says she dreads summer’s arrival. “It severely stresses me out even thinking about summers coming,” she says.",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
6,"But this year Shahida is enduring Delhi’s extreme heat with a baby, her nine-month-old daughter, Jannat. Shahida says her fears are now less about herself and more about whether her child’s body can survive the heat. “I’m not even sure how her skin will bear this weather,” she says. “I just don’t want her to fall sick.”",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
7,"When her partner left shortly after Jannat’s birth, Shahida moved back with her family under the flyover. Today, the family of 10 – including her mother, father, two sisters, a brother-in-law and four children – all live on the pavement.",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
8,"The family once lived in a small shanty in the park opposite the flyover, but it was demolished by municipal authorities years ago. Since then, repeated attempts to rebuild shelters have ended the same way. “We’ve lost track of times when we lost the house,” Shahida says, pointing at the stream of traffic overhead. “Every time we try to make a shanty again, it gets demolished. So now we don’t even try.”",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
9,"The flyover has become one of the few places where Shahida’s family can remain relatively undisturbed. The concrete offers some shade from direct sunlight, even if the trapped heat underneath it often becomes suffocating by noon. “Police usually don’t say anything unless some VIP or minister is passing from the road,” Shahida says.",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
10,"A loud honk cuts through the traffic noise. Jannat stirs first. In seconds, Shahida is sitting upright. “This is how we sleep,” she says. “Even the smallest sound wakes us up. A truck passing is enough.”",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
11,"“I try breastfeeding her as much as I can, but in this heat it becomes painful and uncomfortable,” Shahida says. “Even the milk reduces because of the heat, so I sometimes have to rely on packet milk instead. But that also gets spoiled quickly in this heat.”",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
12,"Later, Shahida helps her mother fill water containers from a community tap in a park across the busy road. But when the tap water gets too hot to drink the family has to buy drinking water – at nearly 20 rupees (16p) a litre. “We only buy cold water when we are extremely thirsty,” Shahida says. “Otherwise, we somehow manage with whatever water is available.”",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
13,"Shahida is asleep again on her mat while Jannat is entertained by her aunt and cousins. When she wakes, she rubs the red rashes spreading across her back and sweat-covered face. “By now, even the pavement has absorbed enough heat and started radiating it back,” she says. “Lying down or even sitting on this floor feels like sitting on a hot stove. No matter how thick the mat is, there’s no relief.”",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
14,"After trying to nap again, Shahida gives up. “We sleep the way we sip cold water,” she says. “Whenever we get it, we take it. However little it is.”",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
15,"Nights on the street are spent in fear of harassment. “By morning, the exhaustion from staying alert through the night carries into the day as nausea, dizziness and constant drowsiness,” she says.",Named Person,Shahida,,,"Shahida has lived through these realities for almost her entire 20 years. Sitting beneath a Delhi flyover, where her family sleeps on the pavement under pop-up mosquito nets"
16,Data suggests that nearly 99% of people living on the streets suffer inadequate and interrupted sleep during extreme heat.,Document,,,data,
