GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
"her neighbors call her “the crazy democrat,” although it’s more a term of endearment than derision.","her neighbors call her the crazy democrat, although its more a term of endearment than derision.",98,Anonymous_Groups,Named_Person,No,neighbors,becky blackburn,8,,"paralegal;town council member,paralegal",0.0,"in some far reaches of rural america, democrats are flirting with extinction. in niobrara county, wyoming, the least-populated county in the least-populated state, becky blackburn is one of just 32 left.","recently served nine years on the town council,a paralegal for the republican county attorney",0.3186381161212921," in some far reaches of rural america, democrats are flirting with extinction. in niobrara county, wyoming, the least-populated county in the least-populated state, becky blackburn is one of just 32 left.","paralegal;town council member,paralegal recently served nine years on the town council,a paralegal for the republican county attorney",0.3186381161212921
"but niobrara county’s democrats, who account for just 2.6% of registered voters, are the most outnumbered by republicans in the 30 states that track local party affiliation, according to associated press election data.","but niobrara countys democrats, who account for just 2.6% of registered voters, are the most outnumbered by republicans in the 30 states that track local party affiliation, according to associated press election data.",100,Named_Organization,Named_Organization,Yes,associated press,associated press,100,,,0.0,,,0.0, , ,0.0
"“normally i just roll my eyes and walk away because i’m fighting a losing battle and i’m fully aware of that,” she said. “maybe that is why i’m well-liked, because i keep my mouth shut 10 times more than i want to.”","normally i just roll my eyes and walk away because im fighting a losing battle and im fully aware of that, she said. maybe that is why im well-liked, because i keep my mouth shut 10 times more than i want to.",98,Named_Person,Named_Person,Yes,becky blackburn,becky blackburn,100,,"paralegal;town council member,paralegal",0.0,"many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,blackburn, for one, intends to hold her political ground, even as it shrinks around her.,maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.","recently served nine years on the town council,a paralegal for the republican county attorney",1.0," many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,blackburn, for one, intends to hold her political ground, even as it shrinks around her.,maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.","paralegal;town council member,paralegal recently served nine years on the town council,a paralegal for the republican county attorney",1.0
"she speaks approvingly of policing reform, taxation for government services and the transgender social media celebrity dylan mulvaney.","she speaks approvingly of policing reform, taxation for government services and the transgender social media celebrity dylan mulvaney.",100,Named_Person,Named_Person,Yes,becky blackburn,becky blackburn,100,,"paralegal;town council member,paralegal",0.0,"many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,blackburn, for one, intends to hold her political ground, even as it shrinks around her.,maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.","recently served nine years on the town council,a paralegal for the republican county attorney",1.0," many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,blackburn, for one, intends to hold her political ground, even as it shrinks around her.,maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.","paralegal;town council member,paralegal recently served nine years on the town council,a paralegal for the republican county attorney",1.0
"“i won two elections here. even though that’s nonpartisan, people still knew i had left-leaning values,”","i won two elections here. even though thats nonpartisan, people still knew i had left-leaning values, she said.",100,Named_Person,Named_Person,Yes,becky blackburn,becky blackburn,100,,"paralegal;town council member,paralegal",0.0,"many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,blackburn, for one, intends to hold her political ground, even as it shrinks around her.,maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.","recently served nine years on the town council,a paralegal for the republican county attorney",1.0," many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,blackburn, for one, intends to hold her political ground, even as it shrinks around her.,maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.","paralegal;town council member,paralegal recently served nine years on the town council,a paralegal for the republican county attorney",1.0
"you feel skeevy and dirty when you do it. but you do it anyway and you change it back as soon as you can, because you don’t want to start getting the republican mailings,”","you feel skeevy and dirty when you do it. but you do it anyway and you change it back as soon as you can, because you dont want to start getting the republican mailings, blackburn said.",100,Named_Person,Named_Person,Yes,becky blackburn,becky blackburn,100,,"paralegal;town council member,paralegal",0.0,"many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,blackburn, for one, intends to hold her political ground, even as it shrinks around her.,maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.","recently served nine years on the town council,a paralegal for the republican county attorney",1.0," many democrats have been switching their registration to vote in more competitive republican primaries, then changing back for the general election.,blackburn, for one, intends to hold her political ground, even as it shrinks around her.,maybe because she’s open about those views — and far too outnumbered to put them into action — blackburn really does seem well-liked in lusk, where she recently served nine years on the town council.,a paralegal for the republican county attorney, blackburn hears a lot of right-wing views around town.","paralegal;town council member,paralegal recently served nine years on the town council,a paralegal for the republican county attorney",1.0
"party-switching had “undermined the sanctity of wyoming’s primary process,” wyoming’s republican secretary of state, chuck gray, said in a statement of approval.","wyomings republican secretary of state, chuck gray, said in a statement of approval.",100,Named_Person,Named_Person,Yes,chuck gray,chuck gray,100,wyoming secretary of state,wyomings republican secretary of state,0.9305198192596436,"wyoming’s republican secretary of state, chuck gray, said in a statement of approval.",,0.0,"wyoming secretary of state wyoming’s republican secretary of state, chuck gray, said in a statement of approval.",wyomings republican secretary of state ,0.9786194562911987
"“how far are they going to go to limit one’s ability to vote? if it really comes down to purifying the party, on a voting level all the way up to the elected officials, pretty soon there isn’t going to be anyone left who’s pure enough to be in the party,” diercks said.","how far are they going to go to limit ones ability to vote? if it really comes down to purifying the party, on a voting level all the way up to the elected officials, pretty soon there isnt going to be anyone left whos pure enough to be in the party, diercks said.",100,Named_Person,Named_Person,Yes,ross diercks,ross diercks,100,former democratic state representative,"democratic state representative,former middle school english teacher;state legislator",0.8531674742698669,the new law keeping diercks and others from switching their registration so easily has him exasperated with the gop.,"democratic state representative not too long ago,a former middle school english teacher;launched an 18-year run in the legislature",0.26917368173599243,former democratic state representative the new law keeping diercks and others from switching their registration so easily has him exasperated with the gop.,"democratic state representative,former middle school english teacher;state legislator democratic state representative not too long ago,a former middle school english teacher;launched an 18-year run in the legislature",0.4357812702655792
"truck driver pat jordan supports many left-leaning goals, including universal healthcare, but said he only registers as a republican.","truck driver pat jordan supports many left-leaning goals, including universal healthcare, but said he only registers as a republican.",100,Named_Person,Named_Person,Yes,pat jordan,pat jordan,100,,truck driver,0.0,truck driver pat jordan supports many left-leaning goals,"who lives in niobrara county,truck driver",0.42067673802375793, truck driver pat jordan supports many left-leaning goals,"truck driver who lives in niobrara county,truck driver",0.42067673802375793
"“the best way to participate in meaningful change is to try to sway the dominant party,” said jordan, who lives in niobrara county. “you know, we need to have a government that serves the people, all of them, not just republicans and not just rural and not just urban and not just democrats — and definitely not just the rich and the wealthy.”","the best way to participate in meaningful change is to try to sway the dominant party, said jordan, who lives in niobrara county. you know, we need to have a government that serves the people, all of them, not just republicans and not just rural and not just urban and not just democrats  and definitely not just the rich and the wealthy.",100,Named_Person,Named_Person,Yes,pat jordan,pat jordan,100,,truck driver,0.0,truck driver pat jordan supports many left-leaning goals,"who lives in niobrara county,truck driver",0.42067673802375793, truck driver pat jordan supports many left-leaning goals,"truck driver who lives in niobrara county,truck driver",0.42067673802375793
