SourcedStatement,SourceType,Name,Title,Justification
"At one point, Mr. Altman, the chief executive, made a move to push out one of the board’s members because he thought a research paper she had co-written was critical of the company.",Named Person,Sam Altman,chief executive,
"Another member, Ilya Sutskever, thought Mr. Altman was not always being honest when talking with the board.",Named Person,Ilya Sutskever,,
"The news that he was being pushed out came in a videoconference on Friday afternoon, when Mr. Sutskever, who had worked closely with Mr. Altman at OpenAI for eight years, read him a statement.",Named Person,Ilya Sutskever,,who had worked closely with Mr. Altman at OpenAI for eight years
The decision stunned OpenAI’s employees and exposed board members to tough questions about their qualifications to manage such a high-profile company.,Unnamed Group of People,OpenAI’s employees,null,
"Mr. Altman complained that the research paper seemed to criticize OpenAI’s efforts to keep its A.I. technologies safe while praising the approach taken by Anthropic, a company that has become OpenAI’s biggest rival, according to an email that Mr. Altman wrote to colleagues and that was viewed by The New York Times.",Document,email,null,that Mr. Altman wrote to colleagues and that was viewed by The New York Times
"In the email, Mr. Altman said that he had reprimanded Ms. Toner for the paper and that it was dangerous to the company, particularly at a time, he added, when the Federal Trade Commission was investigating OpenAI over the data used to build its technology.",Named Person,Sam Altman,,
Ms. Toner defended by it as an academic paper that analyzed the challenges that the public faces when trying to understand the intentions of the countries and companies developing A.I.,Named Person,Helen Toner,board member and a director of strategy at Georgetown University’s Center for Security and Emerging Technology,defended it
"Senior OpenAI leaders, including Mr. Sutskever, who is deeply concerned that A.I. could one day destroy humanity, later discussed whether Ms. Toner should be removed, a person involved in the conversations said.",Anonymous Source,null,null,a person involved in the conversations
"But shortly after those discussions, Mr. Sutskever did the unexpected: He sided with board members to oust Mr. Altman, according to two people familiar with the board’s deliberations.",Anonymous Source,null,null,according to two people familiar with the board’s deliberations
The statement he read to Mr. Altman said that Mr. Altman was being fired because he wasn’t “consistently candid in his communications with the board.”,Named Person,Ilya Sutskever,,
"“After a series of reasonably amicable negotiations, the co-founders of Anthropic were able to negotiate their exit on mutually agreeable terms,” an Anthropic spokeswoman, Sally Aldous, said.",Named Person,Sally Aldous,Anthropic spokeswoman,
"In a second statement, Anthropic added that there was “no attempt to ‘oust’ Sam Altman at the time the founders of Anthropic left OpenAI.”",Named Organization,Anthropic,null,
"After vetting four candidates for one position, the remaining directors couldn’t agree on who should fill it, said the two people familiar with the board’s deliberations.",Anonymous Source,null,null,said the two people familiar with the board’s deliberations
"During the call, Jason Kwon, OpenAI’s chief strategy officer, said the board was endangering the future of the company by pushing out Mr. Altman.",Named Person,Jason Kwon,OpenAI’s chief strategy officer,
"This, he said, violated the members’ responsibilities.",Named Person,Jason Kwon,,
"The board’s mission was to ensure that the company creates artificial intelligence that “benefits all of humanity,” and if the company was destroyed, she said, that could be consistent with its mission.",Named Person,Helen Toner,,
"In the board’s view, OpenAI would be stronger without Mr. Altman.",Unnamed Group of People,board,null,
"On Sunday, Mr. Sutskever was urged at OpenAI’s office to reverse course by Mr. Brockman’s wife, Anna, according to two people familiar with the exchange.",Anonymous Source,null,null,according to two people familiar with the exchange
"Hours later, he signed a letter with other employees that demanded the independent directors resign.",Named Person,Ilya Sutskever,,
The confrontation between Mr. Sutskever and Ms. Brockman was reported earlier by The Wall Street Journal.,Named Organization,The Wall Street Journal,null,
"At 5:15 a.m. on Monday, he posted on X, formerly Twitter, that “I deeply regret my participation in the board’s actions.”",Named Person,Ilya Sutskever,,
