No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"More than a dozen American warships positioned in the Gulf of Oman and Arabian Sea are acting as a “net,” officials said.",Unnamed Group of People,,officials,,
2,A U.S. blockade has “completely halted economic trade” to and from Iranian ports by sea.,Named Organization,US Military,,,
3,"The U.S. blockade, which took effect Monday amid a shaky ceasefire between the United States and Iran, involves 10,000 American troops, more than a dozen Navy ships positioned in the Gulf of Oman and the Arabian Sea, and an array of fighter jets and drones to surveil commercial vessels in the area.",Named Organization,US Central Command,,,
4,An estimated 90 percent of Iran’s economy is fueled by international sea trade.,Named Person,Brad Cooper,Admiral,,
5,"“In less than 36 hours since the blockade was implemented, U.S. forces have completely halted economic trade going into and out of Iran by sea.”",Unnamed Person,,Centcom commander,,
6,"On Tuesday, China, a major buyer of Iranian oil that has sought to distance itself from direct involvement in the war, criticized the U.S. blockade as a “dangerous and irresponsible move.”",Named Organization,China,,,major buyer of Iranian oil that has sought to distance itself from direct involvement in the war
7,"“This will only aggravate confrontation, escalate tension, undermine the already fragile ceasefire and further jeopardize safe passage through the Strait of Hormuz.”",Named Person,Guo Jiakun,Chinese Foreign Ministry spokesperson,,
8,"To execute the blockade, two U.S. officials said, American naval assets are not lingering near Iranian ports or in the Strait of Hormuz itself.",Anonymous Source,,US officials,,
9,"“Our net is the Gulf of Oman,” said one of the officials, who explained that the U.S. warships involved wait for an opportune moment — after observing vessels leave Iranian facilities and clear the strait — before intercepting the merchant ships and forcing them to turn around.",Anonymous Source,,US officials,,
10,"“There’s one way in and one way out,” the official said. “We’ve got the whole thing on lockdown.”",Anonymous Source,,US officials,,
11,"None of the six encounters required escalation by U.S. forces to compel the ships to turn around, both officials said.",Anonymous Source,,US officials,,
12,"The blockade affects only those ships that were either still in an Iranian port, or pulled into one, after 10 a.m. Eastern time Monday, one of the officials said.",Anonymous Source,,US officials,,
13,"Iranian Press TV reported earlier Tuesday that two ships that had been in Iranian ports had passed through the blockade — but in both cases, the ships had departed before the U.S.-imposed deadline, according to ship tracking data cited by the network.",Named Organization,Iranian Press TV,,,
14,However U.S. forces “are supporting freedom of navigation for vessels transiting the Strait of Hormuz to and from non-Iranian ports.”,Named Organization,US Central Command,,,
