No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
1,"“If the Republicans win, you win with us and you get $5,000,” Trump said during the unprecedented Republican midterm convention in Dallas. “It will be called the Trump dividend.”",Named Person,Donald Trump,,,
2,"Speaking to Politico, Chip Roy, the Republican US representative from Texas, sounded skeptical. “Well – I would like to know how they would plan to pay for … back of envelope … well over $1tn,” he said.",Named Organization,Politico,,,
3,"In the moments after Trump made the announcement, Marc Goldwein of the Committee for a Responsible Federal Budget wrote on X that “this would cost about $1.2 TRILLION in just one year. That’s more than ALL THREE ROUNDS of COVID relief checks, despite no recessions. The result would be a huge spike in the deficit, and almost certainly in the inflation rate.”",Named Person,Marc Goldwein,,,of the Committee for a Responsible Federal Budget 
4,"“The 10-year [treasury bond is] approaching 5%,” Goldwein said on Thursday morning. “Inflation is not under control. We spend more on interest than we spend on defense or on Medicare at this point. Social security is six years from insolvency. Just about the last thing we need is to borrow another trillion dollars to send checks to everybody.”",Named Person,Marc Goldwein,,,of the Committee for a Responsible Federal Budget 
5,"Spending like this risked an economic sugar high followed by a recessionary crash, he said. But Goldwein was most concerned about what might happen if Trump’s gambit is effective.
",Named Person,Marc Goldwein,,,of the Committee for a Responsible Federal Budget 
6,"“If this works, the lesson for every future politician is going to be: if you want to win an election, promise a trillion dollars. And multiply a trillion dollars times the number of elections we have coming up, that is a recipe for bankruptcy.”",Named Person,Marc Goldwein,,,of the Committee for a Responsible Federal Budget 
7,"Democratic political leaders reacted with blunt condemnation.
",Unnamed Group of People,,Democratic political leaders,,
8,"“After making you sicker and poorer with his war, Donald Trump now wants to buy your vote with $5,000 in taxpayer-funded blood money,” the California governor, Gavin Newsom, said. “The most corrupt man ever to occupy the Oval Office.”",Named Person,Gavin Newsom,California governor,,
9,"The Democratic National Committee (DNC) pointed to Trump’s record on similar pledges, from $5,000 stimulus checks as a result of the work of the so-called department of government efficiency (Doge) to $2,000 stimulus checks from revenue from tariffs.",Named Organization,Democratic National Committee (DNC),,,
10,"“Donald Trump and Republicans are once again offering empty promises to Americans,” said Kendall Witmer, the committee’s rapid response director. “The only people reaping the benefits of Trump’s economy are himself, his family, and his ultra-rich elite donors. Meanwhile, working families get nothing except sky-high receipts at the grocery store and the pump, unaffordable healthcare premiums, and wages that aren’t keeping up with inflation.”",Named Person,Kendall Witmer,committee’s rapid response director,,
11,"The Bipartisan Policy Center has been tracking tariff revenue since Trump began raising rates in 2025. As of 8 September, the US has collected about $210bn in tariff and excise tax revenue in 2026. At a rate of $21bn a month, the US federal government would have to collect tariffs for nearly five years to cover a $5,000 payment, assuming every dollar of tariff revenue went to the payment, and discounting tariff payments refunded to retailers in legal challenge",Named Organization,Bipartisan Policy Center,,,has been tracking tariff revenue since Trump began raising rates in 2025
12,"Peter Schiff, chief economist for Euro Pacific Asset Management, said that Trump’s pledge had already begun rippling through financial markets.
",Named Person,Peter Schiff,chief economist for Euro Pacific Asset Management,,
13,"“Even though bond investors know that, even in the unlikely event Republicans retain control of the House, Trump’s promise to borrow over $1 trillion more to buy votes won’t be kept,” Schiff wrote in a post on X. “The promise itself is so reckless that they’re dumping Treasuries, sending yields to new highs …",Named Person,Peter Schiff,chief economist for Euro Pacific Asset Management,,
14,"“Making his promise even worse, Trump referred to his $5,000 bribes as ‘dividends’, as if his policies had been so successful that the US now has surpluses to share. Instead, his reckless policies have produced massive deficits. Trump needs to send Americans bills, not checks.”",Named Person,Peter Schiff,chief economist for Euro Pacific Asset Management,,
15,"JD Vance appeared to walk back Trump’s pledge, suggesting that the benefit would be means-tested.",Named Person,JD Vance,,,
16,"But the US senator Bernie Moreno, an Ohio Republican, promised support for Trump’s idea. “I will get a bill ready so that we can get the Trump Dividend passed immediately after the November 3rd election,” Moreno wrote on X.",Named Person,Bernie Moreno,US senator,Republican,Ohio Republican
